Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Amalthea (JV) [505]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016           Amalthea / (Jupiter)                       505

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 131 x 73 x 67   Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 181.3 (10^3)    Orbital period      = 0.498179 d
  Eccentricity, e         = 0.003           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.40 
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:09:39 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Amalthea (505)                  {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458308830232E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  4.092808619032419E-03,  1.211433245348486E-03,  2.589041995799972E+00,  3.389205996426535E+02,  1.752265941060637E+02,  2.458849940874667E+06,  7.178562905471604E+02,  4.244349183137836E+01,  4.276120099677505E+01,  1.216411785990480E-03,  1.221390326632474E-03,  5.014931327349696E-01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  5.365829613428953E-03,  1.208924245167624E-03,  2.572312693227027E+00,  3.349662829538357E+02,  1.830548985184400E+02,  2.458860906348172E+06,  7.187119586681290E+02,  3.712278676617161E+01,  3.749587379069342E+01,  1.215446121962377E-03,  1.221967998757130E-03,  5.008960761792929E-01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  6.126115044405765E-03,  1.208351784209483E-03,  2.485108602042196E+00,  3.314240002434789E+02,  2.022067127972198E+02,  2.458871888008423E+06,  7.183982684935395E+02,  2.010910052428775E+01,  2.035220157238405E+01,  1.215799914355806E-03,  1.223248044502128E-03,  5.011147935460781E-01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  7.266046423742372E-03,  1.208969216658797E-03,  2.341366879994772E+00,  3.288870598395311E+02,  2.210501033580914E+02,  2.458882870633807E+06,  7.166133413703020E+02,  2.412258576677336E+00,  2.447624192354522E+00,  1.217817938334401E-03,  1.226666660010005E-03,  5.023629609122416E-01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  6.315688546076500E-03,  1.207629755615499E-03,  2.165776622157937E+00,  3.280226343940138E+02,  2.394885338930602E+02,  2.458893855012237E+06,  7.188369308133409E+02,  3.434579541755315E+02,  3.432503257431005E+02,  1.215305245031532E-03,  1.222980734447564E-03,  5.008089937625652E-01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  6.031382307422091E-03,  1.209817568669390E-03,  1.994946351982222E+00,  3.294383720008137E+02,  2.354071679172247E+02,  2.458904811421040E+06,  7.171956030033006E+02,  3.446369247108858E+02,  3.444524760558550E+02,  1.217158718227834E-03,  1.224499867786278E-03,  5.019551130716334E-01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  5.987648580847214E-03,  1.210294930078638E-03,  1.872653006882548E+00,  3.333169710230027E+02,  2.574031343654431E+02,  2.458915807347499E+06,  7.168186396439230E+02,  3.174586066356160E+02,  3.169921291785431E+02,  1.217585403592519E-03,  1.224875877106400E-03,  5.022190831684130E-01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.059359930733628E-03,  1.210135988564471E-03,  1.839005467321943E+00,  3.387264648999255E+02,  2.766795824821653E+02,  2.458926801379183E+06,  7.201303669148972E+02,  2.913145539478469E+02,  2.909875041383565E+02,  1.213849591366234E-03,  1.217563194167998E-03,  4.999094838095388E-01,
