Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Ariel (UI) [701]
Center [change] : 	Uranus System Barycenter [500@7]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Ariel  / (Uranus)                        701

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 581.1x577.9x577.7 Density (g cm^-3)   = 1.67 +- 0.15
  Mass (10^20 kg )      =   13.53 +- 1.20   Geometric Albedo    =  0.34 
                                            V(1,0)              = +1.45

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 191.2 (10^3)    Orbital period      = 2.520 d
  Eccentricity, e         =   0.0034        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.31
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:18:24 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ariel (701)                     {source: ura111}
Center body name: Uranus Barycenter (7)           {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.2919689964356046E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  7.102120201819492E-04,  1.275408328444234E-03,  9.769651661492624E+01,  1.676507566444657E+02,  1.697817644162731E+02,  2.458848861131414E+06,  1.428275476288825E+02,  1.626618071585122E+02,  1.626860400586467E+02,  1.276314782544333E-03,  1.277221236644432E-03,  2.520522168002282E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  6.511421066692811E-04,  1.274948770805140E-03,  9.769642539592311E+01,  1.676508878419398E+02,  1.863937721215737E+02,  2.458861579030581E+06,  1.429174495130358E+02,  2.712438932684807E+02,  2.711692941656937E+02,  1.275779484546353E-03,  1.276610198287566E-03,  2.518936639484064E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  6.118635125856131E-04,  1.275718610706895E-03,  9.769638499512368E+01,  1.676510163355631E+02,  1.686513608125448E+02,  2.458871536513714E+06,  1.427965208061081E+02,  5.418932139967122E+01,  5.424620644939497E+01,  1.276499654269170E-03,  1.277280697831446E-03,  2.521069826965988E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  5.568216620725042E-04,  1.275431168550344E-03,  9.769628161438180E+01,  1.676511945274560E+02,  1.565585088207733E+02,  2.458884053712075E+06,  1.428565973529757E+02,  1.914703470646508E+02,  1.914576669937244E+02,  1.276141751921690E-03,  1.276852335293035E-03,  2.520009622730253E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  8.601918656302542E-04,  1.275794358029476E-03,  9.769621988628268E+01,  1.676513834451504E+02,  1.395874079706676E+02,  2.458894016708510E+06,  1.427305885213704E+02,  3.336364457124047E+02,  3.335926316651581E+02,  1.276892730769767E-03,  1.277991103510058E-03,  2.522234397892213E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  6.567813664060027E-04,  1.275385103932335E-03,  9.769609083135175E+01,  1.676515237460401E+02,  1.649464795483844E+02,  2.458904275710400E+06,  1.428429045944756E+02,  7.346262022729739E+01,  7.353478541921901E+01,  1.276223303617525E-03,  1.277061503302714E-03,  2.520251187988814E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.281654928385600E-04,  1.276481352745873E-03,  9.769602313391114E+01,  1.676517062680398E+02,  1.572388322719484E+02,  2.458916824153060E+06,  1.427507217090897E+02,  2.063783740788865E+02,  2.063667605265668E+02,  1.276772668210959E-03,  1.277063983676044E-03,  2.521878668562115E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.857768906040957E-04,  1.275705062504216E-03,  9.769595791877512E+01,  1.676518215390394E+02,  1.707040433479565E+02,  2.458926999311106E+06,  1.428472553322986E+02,  3.181013135432960E+02,  3.180717809752337E+02,  1.276197389965114E-03,  1.276689717426012E-03,  2.520174428010882E+00,
