Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Callisto (JIV) [504]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016           Callisto / (Jupiter)                       504

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2403   +- 5     Density (g cm^-3)   = 1.851 +- .004
  Mass (10^20 kg )        = 1076   +- 1     Geometric Albedo    =  0.20 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1883  (10^3)    Orbital period      = 16.689018 d
  Eccentricity, e         = 0.007           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.281
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:08:23 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Callisto (504)                  {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8248656318364390E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  7.266277419782278E-03,  1.249405361505672E-02,  1.964862758946727E+00,  3.368949508658563E+02,  2.843989939625501E+01,  2.458851363949293E+06,  2.156828652147683E+01,  3.305819508549442E+02,  3.301697124234975E+02,  1.258550337404010E-02,  1.267695313302348E-02,  1.669117292379839E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  7.166317619012567E-03,  1.249493285753370E-02,  1.964936361215868E+00,  3.368953848444602E+02,  2.887508551219554E+01,  2.458868073330774E+06,  2.156926733953782E+01,  2.065275283291750E+02,  2.061636774295785E+02,  1.258512183789805E-02,  1.267531081826240E-02,  1.669041392704598E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  7.227536390064838E-03,  1.249454776354538E-02,  1.964942246706294E+00,  3.368931897131621E+02,  3.018736857322190E+01,  2.458868133100386E+06,  2.156826950152123E+01,  8.159059838256213E+01,  8.241096421620200E+01,  1.258550999502192E-02,  1.267647222649847E-02,  1.669118609513892E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  7.285631109559401E-03,  1.249377053698084E-02,  1.965044002508044E+00,  3.368926514281978E+02,  2.871840944181731E+01,  2.458884754870287E+06,  2.156838881177199E+01,  3.194326583462004E+02,  3.188859337043373E+02,  1.258546358198196E-02,  1.267715662698307E-02,  1.669109376419961E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  7.194900710413552E-03,  1.249488863600046E-02,  1.965079304209058E+00,  3.368917556718176E+02,  2.847617920267349E+01,  2.458901432960838E+06,  2.156845039777635E+01,  1.960590531865952E+02,  1.958329358993138E+02,  1.258543962449561E-02,  1.267599061299076E-02,  1.669104610487525E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  7.110646550221659E-03,  1.249582858409407E-02,  1.965141103377523E+00,  3.368915442961565E+02,  2.961883818647302E+01,  2.458901484409604E+06,  2.156876219486151E+01,  7.129749316170879E+01,  7.207146983802770E+01,  1.258531833449268E-02,  1.267480808489128E-02,  1.669080481984106E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  7.112697878472490E-03,  1.249529380542420E-02,  1.965202115642340E+00,  3.368897058779770E+02,  2.913627882407302E+01,  2.458918152205882E+06,  2.157008002620633E+01,  3.081410867237785E+02,  3.074965271320609E+02,  1.258480572641546E-02,  1.267431764740673E-02,  1.668978508946753E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  7.184546197179896E-03,  1.249499603315505E-02,  1.965267338436387E+00,  3.368885573654406E+02,  2.998375903188929E+01,  2.458934881245726E+06,  2.156850974069898E+01,  1.836721329115783E+02,  1.836198723553972E+02,  1.258541653969524E-02,  1.267583704623543E-02,  1.669100018165341E+01,
