Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Charon (PI) [901]
Center [change] : 	Pluto System Barycenter [500@9]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 26, 2018          Charon / (Pluto)                            901 

 Fit to all available observations including New Horizons encounter tracking.

 SATELLITE GENERAL PHYSICAL PROPERTIES (PLU042, IAU2009, and derived values):
  GM (km^3/s^2)           = 102.271      Density (g cm^-3)      = 1.65
  Radius (km)             = 605          Geometric Albedo       = 0.372 +- .012
  Mass (10^21 kg )        =   1.53       Hill Sphere radius, km = 664
  Surface gravity (cm/s^2)=  27.9        Escape velocity, km/s  = 0.581

 SATELLITE GENERAL ORBITAL DATA:
  Semi-major axis, a (km) =  19596       Orbital period, days   = 6.38723 
  Eccentricity, e         =  0.0002 
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:21:31 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Charon (901)                    {source: plu055l_merged}
Center body name: Pluto Barycenter (9)            {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.5422017222831211E-12 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.817240925811056E-03,  1.162918267880954E-04,  1.128958419408237E+02,  2.274021182752486E+02,  3.085119770058883E+01,  2.458846842168622E+06,  5.658281263070310E+01,  1.786789811663031E+02,  1.786837710812795E+02,  1.165035417922422E-04,  1.167152567963890E-04,  6.362356045281778E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.969041471700034E-03,  1.162686232468991E-04,  1.128958357166665E+02,  2.274021193346703E+02,  2.830110332781950E+02,  2.458864065805999E+06,  5.658684090462715E+01,  1.841390763755996E+02,  1.841228304093472E+02,  1.164980126652075E-04,  1.167274020835159E-04,  6.361903125264632E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.105341029754776E-03,  1.162578028558825E-04,  1.128958373550939E+02,  2.274021212486576E+02,  1.850069666661119E+02,  2.458868739008751E+06,  5.658314790711642E+01,  1.797641657301888E+02,  1.797651561438144E+02,  1.165030815736123E-04,  1.167483602913421E-04,  6.362318345931459E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.955363073517989E-03,  1.162681346094808E-04,  1.128958319142010E+02,  2.274021263329782E+02,  8.652988108513706E+01,  2.458879766264020E+06,  5.658836095727717E+01,  1.758616854243833E+02,  1.758778158445839E+02,  1.164959264422613E-04,  1.167237182750418E-04,  6.361732234510048E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.821523537679881E-03,  1.162925837898312E-04,  1.128958315551599E+02,  2.274021256351031E+02,  3.379957083621554E+02,  2.458896977600204E+06,  5.658189600527454E+01,  1.820159763853133E+02,  1.820086502757947E+02,  1.165048000253301E-04,  1.167170162608289E-04,  6.362459115305025E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.079658654739661E-03,  1.162571856209685E-04,  1.128958286826535E+02,  2.274021322392142E+02,  2.341769934039519E+02,  2.458907909928559E+06,  5.658578294099943E+01,  1.834563997916616E+02,  1.834420694352542E+02,  1.164994647410899E-04,  1.167417438612112E-04,  6.362022071433790E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.073583038966414E-03,  1.162564583530154E-04,  1.128958254408195E+02,  2.274021310756509E+02,  1.389077484502492E+02,  2.458912631639130E+06,  5.658683068966836E+01,  1.763449849000213E+02,  1.763600934903600E+02,  1.164980266852230E-04,  1.167395950174305E-04,  6.361904273704605E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.825009582280318E-03,  1.162901929945842E-04,  1.128958251616368E+02,  2.274021369850975E+02,  3.454726395411191E+01,  2.458923554421444E+06,  5.658334448489846E+01,  1.783268550897580E+02,  1.783329473394564E+02,  1.165028117423767E-04,  1.167154304901691E-04,  6.362296242423077E+00,
