Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Deimos (MII) [402]
Center [change] : 	Mars Barycenter [500@4]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Sep 28, 2012             Deimos / (Mars)                          402

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 7.8 x 6.0 x 5.1 Density (g cm^-3)   =  1.76 +- 0.30
  Mass (10^20 kg )        = 1.80 (10^-5)    Geometric Albedo    =  0.06 
                               (+- 0.15)    V(1,0)              = +12.89

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23.4632(10^3)   Orbital period      = 1.263 d
  Eccentricity, e         =  0.00033        Rotational period   = Synchronous
  Inclination, i  (deg)   =  1.791
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:05:18 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Deimos (402)                    {source: mar097}
Center body name: Mars Barycenter (4)             {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 9.5495486312305554E-11 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.564493422714970E-04,  1.567784817101272E-04,  2.499549993403946E+01,  7.906346311906753E+01,  3.538986644613418E+02,  2.458849946907082E+06,  2.851131774294921E+02,  1.513749066986881E+01,  1.514516703627850E+01,  1.568186977620242E-04,  1.568589138139212E-04,  1.262656476440929E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.310621066811610E-04,  1.567821130715532E-04,  2.499272560736155E+01,  7.907088201869919E+01,  3.438061599486407E+02,  2.458861273563607E+06,  2.851141317001308E+02,  2.700283563481919E+02,  2.700018785815557E+02,  1.568183478493736E-04,  1.568545826271939E-04,  1.262652250357869E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.841310702577243E-04,  1.567906017044275E-04,  2.498988830609352E+01,  7.907965224057429E+01,  3.573315699369572E+02,  2.458871420408252E+06,  2.851110522195237E+02,  1.412986849320227E+02,  1.413118754770275E+02,  1.568194770425726E-04,  1.568483523807177E-04,  1.262665888247695E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.544439560457734E-04,  1.567787993864516E-04,  2.498691379585733E+01,  7.908924658185434E+01,  3.564383435115143E+02,  2.458882779350648E+06,  2.851131687159939E+02,  2.698577656850897E+01,  2.699901092950657E+01,  1.568187009571051E-04,  1.568586025277585E-04,  1.262656515029659E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.396191101729455E-04,  1.567806492199907E-04,  2.498388751014332E+01,  7.909982402591154E+01,  3.457193156468953E+02,  2.458894103825869E+06,  2.851144643767421E+02,  2.824985128750878E+02,  2.824717035286008E+02,  1.568182258637310E-04,  1.568558025074714E-04,  1.262650777072840E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.802989432739528E-04,  1.567912513991600E-04,  2.498039204639937E+01,  7.911160808856626E+01,  3.548146787280717E+02,  2.458904235148247E+06,  2.851109192684066E+02,  1.581942933073619E+02,  1.582019663455589E+02,  1.568195257939453E-04,  1.568478001887306E-04,  1.262666477046051E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.509368463408446E-04,  1.567793583472662E-04,  2.497648819579761E+01,  7.912386167263472E+01,  3.588639860648442E+02,  2.458915611441980E+06,  2.851131442187845E+02,  3.893448655795356E+01,  3.895256166552542E+01,  1.568187099397857E-04,  1.568580615323053E-04,  1.262656623518382E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.464524405912361E-04,  1.567794396798825E-04,  2.497222106146273E+01,  7.913692149018779E+01,  3.480121017331111E+02,  2.458926935464996E+06,  2.851148406827673E+02,  2.945761239906264E+02,  2.945504377308163E+02,  1.568180878803694E-04,  1.568567360808564E-04,  1.262649110575600E+00,
