Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Dione (SIV) [604]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020            Dione  / (Saturn)                         604
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                          http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 562.5   +- 5     Density (g/cm^3) =  1.469 +- 0.012
  Mass (10^19 kg)         = 109.572          Geometric Albedo =  0.6
  GM (km^3/s^2)           =  73.116 +- 0.02 V(1,0)            = +0.8

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 377.42(10^3)    Orbital period    = 2.736915 d
  Eccentricity, e         = 0.0022          Rotational period = Synchronous
  Inclination, i  (deg)   = 0.028
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:15:42 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Dione (604)                     {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4596571646544039E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  3.001500520128436E-03,  2.520188857192533E-03,  2.807610371428950E+01,  1.695243921945624E+02,  9.911774634288672E+01,  2.458849538742773E+06,  1.311267026600299E+02,  6.048313929412317E+01,  6.078299821725452E+01,  2.527775978105586E-03,  2.535363099018639E-03,  2.745436228449718E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.703317475456594E-03,  2.520262452821207E-03,  2.807623460070902E+01,  1.695230756467537E+02,  9.247941872701364E+01,  2.458860436388462E+06,  1.313771395749114E+02,  6.852783185731465E+01,  6.870961225245584E+01,  2.524562584389081E-03,  2.528862715956955E-03,  2.740202756467594E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.473884990743989E-03,  2.513279630379172E-03,  2.807638431986335E+01,  1.695225024908206E+02,  6.011216098924692E+01,  2.458871140290180E+06,  1.317723248704798E+02,  1.022170864567528E+02,  1.024939703576699E+02,  2.519512614820968E-03,  2.525745599262764E-03,  2.731984886461153E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.878612403391333E-03,  2.519461967666394E-03,  2.807615434575022E+01,  1.695199712496326E+02,  9.708838055649818E+01,  2.458882366521268E+06,  1.312077086430159E+02,  6.658512156586337E+01,  6.688825438805671E+01,  2.526735459700777E-03,  2.534008951735160E-03,  2.743741230779908E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.911329461429347E-03,  2.521315883970226E-03,  2.807607134427079E+01,  1.695173699105258E+02,  1.063824572295331E+02,  2.458893384758360E+06,  1.312537780372655E+02,  5.870215493182693E+01,  5.888953690527146E+01,  2.526144177760998E-03,  2.530972471551771E-03,  2.742778191861181E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.231641894689414E-03,  2.513952620297841E-03,  2.807627378254735E+01,  1.695172105976319E+02,  6.460537674497770E+01,  2.458904017323992E+06,  1.317673986475972E+02,  1.018135075963695E+02,  1.020636747304683E+02,  2.519575410340386E-03,  2.525198200382931E-03,  2.732087023762191E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.910172529893679E-03,  2.518398982158840E-03,  2.807624709973680E+01,  1.695165737812922E+02,  9.448897495335261E+01,  2.458915189947794E+06,  1.312845559448829E+02,  7.326363613908148E+01,  7.358332427379163E+01,  2.525749348530330E-03,  2.533099714901820E-03,  2.742135184211147E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.247536942083893E-03,  2.521592810902645E-03,  2.807625603325366E+01,  1.695151376802839E+02,  1.113514725088956E+02,  2.458926265300321E+06,  1.311658537556347E+02,  5.780474953666933E+01,  5.802302309681143E+01,  2.527272950220995E-03,  2.532953089539346E-03,  2.744616755750235E+00,
