Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Earth-Moon Barycenter [EMB] [3]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
Revised: Jul 31, 2013           Earth Barycenter                              3
 
 Dynamical point:
 ---------------
 The common point about which the Earth and Moon revolve (center of mass). This
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way 
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:39:50 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth-Moon Barycenter (3)       {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9630657582893773E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.470579823839578E-02,  9.912182400314384E-01,  1.820650794242262E-03,  1.417545020217475E+02,  3.147907311739403E+02,  2.458846202025878E+06,  9.625932522525652E-01,  3.655904261799459E+00,  3.842158310904359E+00,  1.016327420219532E+00,  1.041436600407625E+00,  3.739897398590357E+02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.505854553286502E-02,  9.915191323393169E-01,  2.048545961057200E-03,  1.372896148019156E+02,  3.262012681658742E+02,  2.458853068056985E+06,  9.616331686013365E-01,  7.587230901601173E+00,  7.978500297862035E+00,  1.017003767555707E+00,  1.042488402772097E+00,  3.743631269745074E+02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.458825206650427E-02,  9.920334952700247E-01,  2.333104842005216E-03,  1.347384641295144E+02,  3.356731049237991E+02,  2.458859908835409E+06,  9.615807181653652E-01,  1.154585795103417E+01,  1.212728498750005E+01,  1.017040749582670E+00,  1.042048003895315E+00,  3.743835470067007E+02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.332203372156091E-02,  9.927341440887352E-01,  2.659269617401466E-03,  1.339261970171244E+02,  3.430934221915759E+02,  2.458866440091910E+06,  9.624339262756078E-01,  1.581655068694188E+01,  1.656593876806513E+01,  1.016439582303138E+00,  1.040145020517541E+00,  3.740516519332554E+02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.133441925122871E-02,  9.935714273652632E-01,  3.012882907263785E-03,  1.345425749466037E+02,  3.484075478306827E+02,  2.458872298721742E+06,  9.641533366366750E-01,  2.076138208059149E+01,  2.165009063944240E+01,  1.015230786603415E+00,  1.036890145841567E+00,  3.733845917660916E+02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.875229234273944E-02,  9.944661939346626E-01,  3.381982895512760E-03,  1.362828982931375E+02,  3.513637235377524E+02,  2.458876927015219E+06,  9.666655104009569E-01,  2.693418640477155E+01,  2.792825287140613E+01,  1.013471100288185E+00,  1.032476006641706E+00,  3.724142385618764E+02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.577145395607493E-02,  9.952897069583456E-01,  3.756227765613782E-03,  1.388961564323942E+02,  3.512418978218917E+02,  2.458879347480082E+06,  9.698686994449796E-01,  3.530372491226930E+01,  3.636517514759886E+01,  1.011238406931886E+00,  1.027187106905427E+00,  3.711842646391360E+02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.270600585070170E-02,  9.958098040912661E-01,  4.126676575701293E-03,  1.421897519645111E+02,  3.464136394276051E+02,  2.458877725747908E+06,  9.736400351998794E-01,  4.768913437022600E+01,  4.877741749073110E+01,  1.008625404380491E+00,  1.021441004669716E+00,  3.697465048528898E+02,
