Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Elara (JVII) [507]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 04, 2019            Elara   / (Jupiter)                       507

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 40 +- 10        Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.03
                                            V(1,0)              = +10.07

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11737 (10^3)    Orbital period      = 259.6528 d
  Eccentricity, e         =   0.207         Rotational period   = 0.5 d 
  Inclination, i  (deg)   =  28             Local invar ref. pln= Sun
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:11:15 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Elara (507)                     {source: jup343_merged}
Center body name: Jupiter Barycenter (5)          {source: jup343_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458408338699E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.111978020136968E-01,  6.186371678853095E-02,  3.060501503825359E+01,  9.082532026588015E+01,  1.971858414947404E+02,  2.458856786782546E+06,  1.386617238362307E+00,  3.505893303279829E+02,  3.452732025104802E+02,  7.842741430799763E-02,  9.499111182746429E-02,  2.596246390425562E+02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.104434762743198E-01,  6.186718894744914E-02,  3.060028850267738E+01,  9.082291350234753E+01,  1.968231177759142E+02,  2.458856619523955E+06,  1.388489834530091E+00,  6.023929886355321E+00,  9.431815946061485E+00,  7.835688400814735E-02,  9.484657906884554E-02,  2.592744945243589E+02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.089279708293039E-01,  6.184558090134950E-02,  3.059635374862811E+01,  9.081690028513060E+01,  1.964423344105081E+02,  2.458856437368474E+06,  1.393219274623213E+00,  2.156512778661878E+01,  3.306005316199640E+01,  7.817945600501643E-02,  9.451333110868335E-02,  2.583943579860102E+02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.073343349248516E-01,  6.181407782006722E-02,  3.059420638729604E+01,  9.080960433362246E+01,  1.960651360948685E+02,  2.458856249710341E+06,  1.398499832587402E+00,  3.723406463059001E+01,  5.500227884926070E+01,  7.798253481082336E-02,  9.415099180157951E-02,  2.574186936683107E+02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.061296858346286E-01,  6.180374941770251E-02,  3.059373416269559E+01,  9.080458749756605E+01,  1.958347252626176E+02,  2.458856121283193E+06,  1.402040468588375E+00,  5.287195106278988E+01,  7.460009415747166E+01,  7.785119095009786E-02,  9.389863248249321E-02,  2.567686226364500E+02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.052832843648478E-01,  6.185325887778683E-02,  3.059361910102994E+01,  9.080496165694197E+01,  1.958889312791516E+02,  2.458856108713961E+06,  1.402597571374324E+00,  6.828025356952929E+01,  9.173609625903117E+01,  7.783057492172234E-02,  9.380789096565785E-02,  2.566666357815356E+02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.044919961625436E-01,  6.198841606919251E-02,  3.059178815248677E+01,  9.081209105470772E+01,  1.962644432095290E+02,  2.458856220374729E+06,  1.400101308990678E+00,  8.334470606370019E+01,  1.066667038981666E+02,  7.792305768158983E-02,  9.385769929398716E-02,  2.571242507154867E+02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.034996275713734E-01,  6.220872340899896E-02,  3.058609135801327E+01,  9.082515270054019E+01,  1.968996797897744E+02,  2.458856427529027E+06,  1.395277147818542E+00,  9.805794453251352E+01,  1.198194064195351E+02,  7.810256663071856E-02,  9.399640985243815E-02,  2.580132560494129E+02,
