Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Enceladus (SII) [602]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020            Enceladus / (Saturn)                      602
                           http://ssd.jpl.nasa.gov/?sat_phys_par
                             http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 252.3   +- 0.6   Density (g/cm^3) =  1.606 +- 0.012
  Mass (10^19 kg)         =  10.805          Geometric Albedo =  1.04
  GM (km^3/s^2)           =   7.210497       V(1,0)           =  +2.2

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 238.04(10^3)    Orbital period    = 1.370218 d
  Eccentricity, e         = 0.0047          Rotational period = Synchronous
  Inclination, i  (deg)   = 0.009
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:13:51 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Enceladus (602)                 {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4597012500185545E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.346228702744012E-03,  1.592572056491817E-03,  2.804113527244400E+01,  1.695309454297189E+02,  8.228743548627843E+01,  2.458849400572915E+06,  2.612890931756379E+02,  1.566237593835089E+02,  1.567301469497088E+02,  1.596317382152512E-03,  1.600062707813208E-03,  1.377784260432213E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.635477707745333E-03,  1.582133691362356E-03,  2.804157179338404E+01,  1.695324681764175E+02,  7.999648360581085E+01,  2.458860357465383E+06,  2.629714572586544E+02,  1.579234633719122E+02,  1.581220402138759E+02,  1.589501791483197E-03,  1.596869891604039E-03,  1.368969863698591E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.577373063393025E-03,  1.585990315636088E-03,  2.804159366512054E+01,  1.695341664862251E+02,  1.087727417337377E+02,  2.458871427170494E+06,  2.620357890575416E+02,  1.280908254397422E+02,  1.285021911803176E+02,  1.593283368007156E-03,  1.600576420378225E-03,  1.373858133252729E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.709942828037919E-03,  1.592693212186103E-03,  2.804285204603260E+01,  1.695339762940318E+02,  1.173314564343347E+02,  2.458882419626007E+06,  2.611164217478479E+02,  1.186445111044438E+02,  1.189165984846067E+02,  1.597021047921143E-03,  1.601348883656182E-03,  1.378695363509695E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  3.989168395996041E-03,  1.584066448976466E-03,  2.804415668528836E+01,  1.695340768468114E+02,  8.845545281437722E+01,  2.458893274141199E+06,  2.627460188935999E+02,  1.465751790289013E+02,  1.468259382801733E+02,  1.590410865738720E-03,  1.596755282500973E-03,  1.370144451725388E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  5.102907336926856E-03,  1.583481367994049E-03,  2.804400083194725E+01,  1.695359865689468E+02,  1.123713173896486E+02,  2.458904326705288E+06,  2.624508307596484E+02,  1.215920821926413E+02,  1.220885066622458E+02,  1.591603171495349E-03,  1.599724974996649E-03,  1.371685503749412E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  3.695098888980140E-03,  1.591682410748038E-03,  2.804422115704266E+01,  1.695372681732878E+02,  1.380622283008987E+02,  2.458915384065575E+06,  2.609780129733481E+02,  9.497888321393233E+01,  9.540053982313950E+01,  1.597585647699905E-03,  1.603488884651771E-03,  1.379426549763655E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.389078361689410E-03,  1.586895232289844E-03,  2.804492923601051E+01,  1.695379504888991E+02,  1.094384430019429E+02,  2.458926238246101E+06,  2.622806346737827E+02,  1.226827894090401E+02,  1.230089134871302E+02,  1.592291633410134E-03,  1.597688034530423E-03,  1.372575601884439E+00,
