Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Europa (JII) [502]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016           Europa / (Jupiter)                         502

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1565   +- 8     Density (g cm^-3)   =  2.99 +- 0.05
  Mass (10^20 kg )        =  479.7 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 671.079 (10^3)  Orbital period      = 3.551810 d
  Eccentricity, e         = 0.0101          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.464
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:07:23 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Europa (502)                    {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8251316094046093E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  9.169104229694171E-03,  4.444351946379858E-03,  2.622740484833106E+00,  3.324130036775255E+02,  2.544731610451075E+02,  2.458849919740875E+06,  1.013744754371600E+02,  8.136226659925240E+00,  8.286635112295153E+00,  4.485479777984381E-03,  4.526607609588906E-03,  3.551189768899538E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  9.309049114598868E-03,  4.445010546694862E-03,  2.621502404042059E+00,  3.323521103030668E+02,  2.467601479217911E+02,  2.458860496450318E+06,  1.013304742115883E+02,  4.676904809322729E+01,  4.755249028600461E+01,  4.486778185187080E-03,  4.528545823679298E-03,  3.552731819336832E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  9.146360164478328E-03,  4.445459233343323E-03,  2.619951049157005E+00,  3.322862675322841E+02,  2.379814692773385E+02,  2.458871062760367E+06,  1.013400910769025E+02,  8.646738219106884E+01,  8.751416555369610E+01,  4.486494326327806E-03,  4.527529419312289E-03,  3.552394675931483E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  9.064490166007159E-03,  4.444582367756499E-03,  2.618517686420664E+00,  3.322296164633485E+02,  2.300053849934255E+02,  2.458881637326218E+06,  1.013826463523794E+02,  1.253772606786774E+02,  1.262186329138509E+02,  4.485238770483742E-03,  4.525895173210985E-03,  3.550903561431358E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  8.914919170600123E-03,  4.447051097697687E-03,  2.616711061618046E+00,  3.321721771771354E+02,  2.215848702297920E+02,  2.458892206304045E+06,  1.013211716066185E+02,  1.647174188299720E+02,  1.649838193495476E+02,  4.487052810820365E-03,  4.527054523943042E-03,  3.553058006452068E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  9.304511464071673E-03,  4.442613914305420E-03,  2.615096192872505E+00,  3.321106158925458E+02,  2.121902888349051E+02,  2.458906317628155E+06,  1.014131783044034E+02,  2.050783735627893E+02,  2.046311662885501E+02,  4.484338493224405E-03,  4.526063072143390E-03,  3.549834508878306E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  8.801470757601777E-03,  4.448025101129848E-03,  2.613220154517688E+00,  3.320551342654597E+02,  2.020797067140996E+02,  2.458916872359770E+06,  1.013052852884615E+02,  2.460964127463986E+02,  2.451784775691330E+02,  4.487521893852691E-03,  4.527018686575534E-03,  3.553615183797358E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  9.257516507898210E-03,  4.443666876171429E-03,  2.611579157363454E+00,  3.319992051134198E+02,  1.968871490350899E+02,  2.458927472984637E+06,  1.013843479868429E+02,  2.822397626363602E+02,  2.812005508214430E+02,  4.485188583524443E-03,  4.526710290877457E-03,  3.550843963081153E+00,
