Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Ganymede (JIII) [503]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016           Ganymede / (Jupiter)                       503

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2634   +- 10     Density (g cm^-3)  =  1.94 +- 0.02
  Mass (10^20 kg )        = 1482   +- 1      Geometric Albedo   =  0.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1070.0428 (10^3) Orbital period     = 7.154553 d
  Eccentricity, e         = 0.0006           Rotational period  = Synchronous
  Inclination, i  (deg)   = 0.186
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:07:55 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ganymede (503)                  {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8246844789455731E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.119916106570354E-03,  7.140105395833812E-03,  2.306499999564546E+00,  3.403575076680401E+02,  4.927657391246997E+00,  2.458852287996636E+06,  5.031160856056515E+01,  2.448872088443105E+02,  2.446674946599799E+02,  7.155273976383270E-03,  7.170442556932729E-03,  7.155406282958172E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.388973024481663E-03,  7.139896782968289E-03,  2.306643052725335E+00,  3.403532481743487E+02,  7.772032358901513E+00,  2.458859498063582E+06,  5.029346589081304E+01,  7.342526248010030E+01,  7.368786640688272E+01,  7.156994650123795E-03,  7.174092517279300E-03,  7.157987496458464E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.451153382757288E-03,  7.139745392992463E-03,  2.306910945374183E+00,  3.403509916921428E+02,  3.492743067037074E+02,  2.458873440954939E+06,  5.029036331260191E+01,  2.833094620616232E+02,  2.830359329166334E+02,  7.157289006151262E-03,  7.174832619310062E-03,  7.158429096291497E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.170532784745929E-03,  7.140642512844515E-03,  2.307115534232931E+00,  3.403463418327424E+02,  3.586159308973859E+02,  2.458880779673859E+06,  5.030210448652213E+01,  1.053490123863174E+02,  1.055886926088221E+02,  7.156175225785470E-03,  7.171707938726425E-03,  7.156758224627717E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.216515891128605E-03,  7.138731325619587E-03,  2.307456458172235E+00,  3.403437824940465E+02,  3.581078758305025E+02,  2.458895079329810E+06,  5.031882774770730E+01,  2.972358261691709E+02,  2.970097062579545E+02,  7.154589587133974E-03,  7.170447848648361E-03,  7.154379704650468E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.621040592869984E-03,  7.134939339744537E-03,  2.307668016040062E+00,  3.403388027878966E+02,  3.580607067594509E+02,  2.458902233613044E+06,  5.032832534918712E+01,  1.286586744238475E+02,  1.288927316808252E+02,  7.153689450182250E-03,  7.172439560619962E-03,  7.153029581299480E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.606864781076202E-03,  7.134987182023962E-03,  2.307962451379705E+00,  3.403350983320277E+02,  3.541381430995173E+02,  2.458916463682387E+06,  5.032889212237383E+01,  3.239804983349862E+02,  3.238043662273251E+02,  7.153635743099295E-03,  7.172284304174627E-03,  7.152949028257292E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.622447289102820E-03,  7.135310490220089E-03,  2.308201417834232E+00,  3.403307567322228E+02,  3.462834209075894E+02,  2.458923462725416E+06,  5.032429211552179E+01,  1.632154975389822E+02,  1.633020051977444E+02,  7.154071666066813E-03,  7.172832841913536E-03,  7.153602859899213E+00,
