Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Himalia (JVI) [506]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 04, 2019           Himalia  / (Jupiter)                       506

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 85 +- 10         Density (g cm^-3)   =              
  GM (km^3/s^2)           = 0.136342         Geometric Albedo    =  0.03
                                             V(1,0)              = +8.14

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11480 (10^3)     Orbital period      = 250.5662 d
  Eccentricity, e         =   0.163          Rotational period   = 0.4 d 
  Inclination, i  (deg)   =  27.5 (inv pln)  Local invar ref. pln= Sun
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:10:07 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Himalia (506)                   {source: jup343_merged}
Center body name: Jupiter Barycenter (5)          {source: jup343_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458316022701E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.539260910746873E-01,  6.438300679709988E-02,  2.946102338144378E+01,  4.425883732296096E+01,  2.704961588178376E+01,  2.458789635603236E+06,  1.450821593403503E+00,  8.757797029804973E+01,  1.050694601566825E+02,  7.609619693730951E-02,  8.780938707751915E-02,  2.481352646230408E+02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.530191647246351E-01,  6.444465417484996E-02,  2.945925955281951E+01,  4.426107760340437E+01,  2.697149655639948E+01,  2.458789518405310E+06,  1.451070352127656E+00,  1.036638778225184E+02,  1.197520220572411E+02,  7.608749984750025E-02,  8.773034552015055E-02,  2.480927264981632E+02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.517264022286117E-01,  6.460252625968331E-02,  2.944404272296720E+01,  4.427577019021757E+01,  2.716268509954800E+01,  2.458789482966365E+06,  1.449065820215243E+00,  1.194508914977417E+02,  1.331652777056042E+02,  7.615765294288206E-02,  8.771277962608079E-02,  2.484359198718288E+02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.499746753541794E-01,  6.484735804043545E-02,  2.941326376161494E+01,  4.428988748800271E+01,  2.754358498031023E+01,  2.458789484147893E+06,  1.445332625569748E+00,  1.349794001470824E+02,  1.456474664829607E+02,  7.628873653553246E-02,  8.773011503062947E-02,  2.490776127454319E+02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.478670746796868E-01,  6.514918879995439E-02,  2.936807389657835E+01,  4.429037631875352E+01,  2.802124703067158E+01,  2.458789489828473E+06,  1.440641563172390E+00,  1.503196690929166E+02,  1.575253910531576E+02,  7.645425597827368E-02,  8.775932315659297E-02,  2.498886671069351E+02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.456377334002577E-01,  6.546511115775379E-02,  2.931234918329118E+01,  4.426666161473198E+01,  2.852485005754622E+01,  2.458789499947224E+06,  1.435842037281300E+00,  1.655383042556232E+02,  1.690764686633693E+02,  7.662453471675072E-02,  8.778395827574767E-02,  2.507239589402490E+02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.435746822773811E-01,  6.574854550272811E-02,  2.925183811096608E+01,  4.421237882034251E+01,  2.902604453693290E+01,  2.459040996750691E+06,  1.431737701388569E+00,  1.806766415849748E+02,  1.805120455241567E+02,  7.677090359444853E-02,  8.779326168616897E-02,  2.514427046594180E+02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.419361810703189E-01,  6.595864082607382E-02,  2.919315314268358E+01,  4.412637320328159E+01,  2.954309195579596E+01,  2.459041651713735E+06,  1.428993580615993E+00,  1.957433129521182E+02,  1.919794135519079E+02,  7.686915515019423E-02,  8.777966947431462E-02,  2.519255543784987E+02,
