Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Iapetus (SVIII) [608]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020             Iapetus / (Saturn)                       608
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)            = 734.5    +- 4.0    Density (g/cm^3)=  1.088 +- 0.018 
  Mass (10^19 kg)        = 180.59             Geometric Albedo=  0.6
  GM (km^3/s^2)          = 120.51   +- 0.03   V(1,0)          =   +1.5 (.7-2.5)

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)= 3560.84 (10^3)     Orbital period    = 79.33 d
  Eccentricity, e        =     0.0283         Rotational period = Synchronous
  Inclination, i  (deg)  =     7.489
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:15:16 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Iapetus (608)                   {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4596254634776490E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.815106207368318E-02,  2.313266828615890E-02,  1.708222803354106E+01,  1.388348039240141E+02,  2.312095275844564E+02,  2.458877088567736E+06,  4.537929572582244E+00,  2.370739873942493E+02,  2.344180800754662E+02,  2.380274071762454E-02,  2.447281314909017E-02,  7.933133254757568E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.810498106039340E-02,  2.313519879589570E-02,  1.708223920127161E+01,  1.388350843930057E+02,  2.310756288224407E+02,  2.458877061994805E+06,  4.537507765566528E+00,  2.869279985142545E+02,  2.838166515560496E+02,  2.380421583098300E-02,  2.447323286607030E-02,  7.933870719338645E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.802234999302007E-02,  2.313527675892207E-02,  1.708244543124505E+01,  1.388350457927708E+02,  2.311335088526336E+02,  2.458877074514718E+06,  4.538063510935942E+00,  3.365903325888120E+02,  3.352723475648801E+02,  2.380227236578529E-02,  2.446926797264852E-02,  7.932899112858662E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.798366495410079E-02,  2.313515869997878E-02,  1.708231875690938E+01,  1.388346450857532E+02,  2.312687169291381E+02,  2.458877102559795E+06,  4.538369177115990E+00,  2.619292633193660E+01,  2.765398952122175E+01,  2.380120360722777E-02,  2.446724851447677E-02,  7.932364819839761E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.802813304234475E-02,  2.313615828848025E-02,  1.708223993352375E+01,  1.388350022838578E+02,  2.314358032799946E+02,  2.458877137517158E+06,  4.537763652423708E+00,  7.575561743510514E+01,  7.889414705926892E+01,  2.380332093448153E-02,  2.447048358048281E-02,  7.933423324234107E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.809907738256428E-02,  2.313491341774540E-02,  1.708230911266545E+01,  1.388352815475012E+02,  2.315027902973170E+02,  2.458877153514191E+06,  4.537633068483305E+00,  1.254042319027145E+02,  1.279754961911455E+02,  2.380377760671380E-02,  2.447264179568219E-02,  7.933651632178564E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.819550101255258E-02,  2.313022897092542E-02,  1.708238209844842E+01,  1.388350952248873E+02,  2.313595503548470E+02,  2.458877126611358E+06,  4.538336148013498E+00,  1.752768441587407E+02,  1.755338460372401E+02,  2.380131908735296E-02,  2.447240920378050E-02,  7.932422550003874E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.819821131796545E-02,  2.313071347797864E-02,  1.708242874809523E+01,  1.388353182289151E+02,  2.312295537508126E+02,  2.458956421964725E+06,  4.538174570383643E+00,  2.251437645502287E+02,  2.229093629811638E+02,  2.380188403372739E-02,  2.447305458947615E-02,  7.932704976784679E+01,
