Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Io (JI) [501]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Io  / (Jupiter)                          501

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1821.3 +- 0.2   Density (g cm^-3)   =  3.530 +-.006
  Mass (10^20 kg )        =  893.3 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 421.769 (10^3)  Orbital period      = 1.769138 d
  Eccentricity, e         = 0.0041          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.036
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:07:01 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Io (501)                        {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8249471898880228E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  5.026614530192700E-03,  2.808052593730293E-03,  2.253839049820687E+00,  3.381566110525317E+02,  6.781237652209624E+01,  2.458849906212237E+06,  2.031127276877029E+02,  1.904948832675950E+01,  1.923861102121847E+01,  2.822238900796713E-03,  2.836425207863133E-03,  1.772414777243896E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.027723228630960E-03,  2.808578984156915E-03,  2.254297743608427E+00,  3.381356953347617E+02,  6.309981504116850E+01,  2.458860497595029E+06,  2.033614881091286E+02,  9.362864007080316E+01,  9.408910617814870E+01,  2.819936909550787E-03,  2.831294834944658E-03,  1.770246684105771E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  3.788921561254075E-03,  2.809515139145471E-03,  2.254697769458230E+00,  3.381196469504364E+02,  5.184746188638928E+01,  2.458871056718460E+06,  2.033329608469102E+02,  1.747202597298511E+02,  1.747600246033835E+02,  2.820200658226487E-03,  2.830886177307504E-03,  1.770495046649346E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  4.265872495746480E-03,  2.808619472210510E-03,  2.255245535255196E+00,  3.380978974843986E+02,  3.494949658416403E+01,  2.458883358603108E+06,  2.032841573191320E+02,  2.614878655001235E+02,  2.610048042546260E+02,  2.820652014057348E-03,  2.832684555904188E-03,  1.770920098976738E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  4.557428865179022E-03,  2.808177674341190E-03,  2.255684234349645E+00,  3.380772878205004E+02,  2.832428706334656E+01,  2.458893940535148E+06,  2.032428332749996E+02,  3.379410090251120E+02,  3.377438345348967E+02,  2.821034337661308E-03,  2.833891000981427E-03,  1.771280168648794E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  3.986363228337928E-03,  2.806713487245923E-03,  2.256203739944755E+00,  3.380549987718132E+02,  2.682506457311527E+01,  2.458904547791556E+06,  2.035769500533419E+02,  4.930805632367740E+01,  4.965554334185016E+01,  2.817946846935960E-03,  2.829180206625996E-03,  1.768373088926186E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  3.668219688350950E-03,  2.812893117749437E-03,  2.256573883996841E+00,  3.380312955168006E+02,  3.100518881820699E+01,  2.458915181645582E+06,  2.030036882758544E+02,  1.149720356968262E+02,  1.153523470681215E+02,  2.823249416845435E-03,  2.833605715941433E-03,  1.773366794749113E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  4.094575215694246E-03,  2.806796660574193E-03,  2.257032863956928E+00,  3.380071745024973E+02,  1.180978703494598E+01,  2.458927472358039E+06,  2.035347272014892E+02,  2.040195256617421E+02,  2.038294264690283E+02,  2.818336551567727E-03,  2.829876442561261E-03,  1.768739934210922E+00,
