Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Jupiter Barycenter [5]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jul 13, 2013          Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:41:51 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9546247911576716E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  4.933765750372478E-02,  4.933016013283118E+00,  1.303345978445352E+00,  1.005027205771874E+02,  2.749400628043907E+02,  2.459978835534521E+06,  8.331907692659150E-02,  2.659464652617603E+02,  2.603403653199531E+02,  5.189030629245154E+00,  5.445045245207189E+00,  4.320739178581863E+03,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.931300923990912E-02,  4.933066074928949E+00,  1.303348530498570E+00,  1.005027122003724E+02,  2.749602933218257E+02,  2.459979088451703E+06,  8.332104897448833E-02,  2.668361978738450E+02,  2.612220812743132E+02,  5.188948752717103E+00,  5.444831430505257E+00,  4.320636915051642E+03,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.928772758128903E-02,  4.933119353622168E+00,  1.303351049896745E+00,  1.005027056836655E+02,  2.749801072957598E+02,  2.459979337102391E+06,  8.332302276012271E-02,  2.677263262804435E+02,  2.621056024193155E+02,  5.188866807274716E+00,  5.444614260927264E+00,  4.320534566255453E+03,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  4.926181878949724E-02,  4.933175809402332E+00,  1.303353538856327E+00,  1.005027009769110E+02,  2.749994880782602E+02,  2.459979581282532E+06,  8.332499846888315E-02,  2.686168673622014E+02,  2.629909511607085E+02,  5.188784785230036E+00,  5.444393761057738E+00,  4.320432122593295E+03,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  4.923528951775269E-02,  4.933235400438003E+00,  1.303355999919682E+00,  1.005026980350483E+02,  2.750184190506831E+02,  2.459979820788454E+06,  8.332697628213796E-02,  2.695078379817903E+02,  2.638781495460212E+02,  5.188702679063218E+00,  5.444169957688435E+00,  4.320329574675445E+03,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  4.920814674798080E-02,  4.933298082799317E+00,  1.303358435300437E+00,  1.005026968192802E+02,  2.750368837661384E+02,  2.459980055418507E+06,  8.332895639126590E-02,  2.703992548321708E+02,  2.647672191157037E+02,  5.188620480840075E+00,  5.443942878880833E+00,  4.320226912594974E+03,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  4.918039792577994E-02,  4.933363808711878E+00,  1.303360846662942E+00,  1.005026972961605E+02,  2.750548662084305E+02,  2.459980284975641E+06,  8.333093902415824E-02,  2.712911341938748E+02,  2.656581806397971E+02,  5.188538181112072E+00,  5.443712553512267E+00,  4.320124124553948E+03,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  4.915205115014969E-02,  4.933432526149011E+00,  1.303363235668627E+00,  1.005026994365253E+02,  2.750723506824101E+02,  2.459980509265990E+06,  8.333292443061291E-02,  2.721834920704530E+02,  2.665510542233382E+02,  5.188455769522888E+00,  5.443479012896766E+00,  4.320021197621040E+03,
