Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Moon [Luna] [301]
Center [change] : 	Earth-Moon Barycenter [500@3]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
 *******************************************************************************
 
 
Results
Ephemeris / WWW_USER Fri May 15 20:03:54 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth-Moon Barycenter (3)       {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.6730232826523468E-10 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  6.384274309375652E-02,  2.351044600958128E-03,  5.286185204995533E+00,  9.813908315270606E+01,  8.102150118191540E+01,  2.458837191213378E+06,  1.340725281437910E+01,  1.717306404825626E+02,  1.727055935325079E+02,  2.511377851972990E-03,  2.671711102987851E-03,  2.685113833416378E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  5.156958881499947E-02,  2.415781403849711E-03,  5.266780990424007E+00,  9.816150122831634E+01,  5.689352199293541E+01,  2.458862445170815E+06,  1.312591671765617E+01,  3.404795197450188E+02,  3.383780192756790E+02,  2.547136168726763E-03,  2.678490933603815E-03,  2.742665580955198E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  3.943652722046070E-02,  2.452482024153724E-03,  5.236795721352947E+00,  9.812502822238635E+01,  8.096339376734767E+01,  2.458864128891317E+06,  1.307941262340335E+01,  1.018508076060441E+02,  1.062249890301005E+02,  2.553170189843975E-03,  2.653858355534226E-03,  2.752417179314628E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  6.931659473200186E-02,  2.336394897983403E-03,  5.198686933502715E+00,  9.757055766875264E+01,  8.426399543617062E+01,  2.458891575511474E+06,  1.341502449668574E+01,  2.432690104222634E+02,  2.364572946243692E+02,  2.510407819413755E-03,  2.684420740844107E-03,  2.683558275193161E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  5.548512462145509E-02,  2.375574590476620E-03,  5.137411364129156E+00,  9.700012509003606E+01,  5.876506051516838E+01,  2.458889873816838E+06,  1.337728823340042E+01,  5.294975704606628E+01,  5.823756484325184E+01,  2.515126709385633E-03,  2.654678828294646E-03,  2.691128379077246E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  5.002923955777019E-02,  2.426534410942190E-03,  5.054091506334275E+00,  9.627173419612278E+01,  8.948128655893116E+01,  2.458892019025515E+06,  1.307054100968996E+01,  1.669235457383405E+02,  1.681459033815448E+02,  2.554325366617169E-03,  2.682116322292148E-03,  2.754285379106426E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  7.385593962194396E-02,  2.350602146547513E-03,  5.040118136786552E+00,  9.543404837542971E+01,  8.844781183463834E+01,  2.458919188489150E+06,  1.319644690203787E+01,  3.145977676189691E+02,  3.081686495683594E+02,  2.538052390670181E-03,  2.725502634792850E-03,  2.728007036078830E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  6.178027031302398E-02,  2.359248187589385E-03,  5.035355782989758E+00,  9.438107238246067E+01,  7.302443448700662E+01,  2.458918062821292E+06,  1.338148419684592E+01,  1.156585592827338E+02,  1.218213611126568E+02,  2.514600911639873E-03,  2.669953635690360E-03,  2.690284535738223E+01,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  5.934140572736734E-02,  2.376521921983225E-03,  5.023448915053321E+00,  9.255954236640486E+01,  1.080105346743362E+02,  2.458947842677241E+06,  1.328749741483728E+01,  2.247508524767599E+02,  2.202082093714154E+02,  2.526444702098191E-03,  2.676367482213158E-03,  2.709313791459418E+01,
2458948.622000000, A.D. 2020-Apr-09 02:55:40.8000,  7.552700847909968E-02,  2.355337470958850E-03,  5.028051318091488E+00,  9.164590646770067E+01,  9.887463184196046E+01,  2.458947094261210E+06,  1.312107803038631E+01,  2.004557987368033E+01,  2.329783133786017E+01,  2.547762338717931E-03,  2.740187206477011E-03,  2.743676999453076E+01,
