Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Mars [499]
Center [change] : 	Mars Barycenter [500@4]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:04:56 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Mars Barycenter (4)             {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 4.9167880087785167E-33 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  9.433690137948484E-01,  2.293673169468903E-14,  2.517988875187649E+01,  8.384581806876932E+01,  2.404526419702444E+02,  2.458849988995106E+06,  1.558645176244619E+04,  1.715272450401330E+02,  1.792550517073269E+02,  4.050208769382600E-13,  7.871050221818310E-13,  2.309698226939499E-02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  9.232396947351412E-01,  3.951811308525237E-14,  2.576793086575038E+01,  8.263963743597236E+01,  3.364383191160246E+02,  2.458860973476281E+06,  1.087612310275341E+04,  1.916780654935080E+02,  1.812152656815032E+02,  5.148248557492887E-13,  9.901315984133249E-13,  3.310002990945018E-02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  8.639543302460905E-01,  1.022252439249768E-13,  2.532716106303186E+01,  8.238816028053236E+01,  1.284138802627418E+02,  2.458871887090073E+06,  6.168125841016856E+03,  1.783200735383626E+02,  1.797565014747709E+02,  7.514038786378878E-13,  1.400582513350799E-12,  5.836456798693517E-02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  9.359714028093299E-01,  2.876179840476066E-14,  2.505694349151821E+01,  8.383158507346408E+01,  2.736505434140288E+02,  2.458882861317122E+06,  1.334443829324490E+04,  1.692458772028050E+02,  1.789882514830808E+02,  4.492023824778030E-13,  8.696429665508451E-13,  2.697753116983843E-02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  9.341347622213990E-01,  3.063680237924432E-14,  2.592492012379498E+01,  8.305111822407474E+01,  6.527844206953825E+00,  2.458893845371192E+06,  1.266434163181665E+04,  1.906626576189894E+02,  1.810188538498034E+02,  4.651437300238198E-13,  8.996506576683951E-13,  2.842627042653140E-02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  8.629599760020888E-01,  1.030840051862715E-13,  2.549233537804812E+01,  8.257744612984547E+01,  1.532865413793769E+02,  2.458904819027202E+06,  6.158112053813005E+03,  1.812472368323173E+02,  1.801815835530622E+02,  7.522182365338957E-13,  1.401352467881520E-12,  5.845947538046075E-02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  9.259310595802727E-01,  3.705215370986987E-14,  2.520461537235023E+01,  8.384605555864722E+01,  3.047560861147684E+02,  2.458915733211298E+06,  1.135526794900073E+04,  1.679296694864506E+02,  1.787685672737233E+02,  5.002387437960628E-13,  9.634253338822557E-13,  3.170334699426270E-02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  9.417797466585691E-01,  2.445271350590321E-14,  2.631537737270953E+01,  8.358253930549041E+01,  3.842004467653742E+01,  2.458926717598989E+06,  1.475991720250724E+04,  1.887998830541544E+02,  1.807855136977403E+02,  4.200035572243378E-13,  8.155544009427725E-13,  2.439038072238288E-02,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  8.661361509295616E-01,  9.939865055174965E-14,  2.582054907812493E+01,  8.287403620221681E+01,  1.782088184622700E+02,  2.458937691997337E+06,  6.278958378610678E+03,  1.842058844789192E+02,  1.806037789924413E+02,  7.425354286611513E-13,  1.385672206770553E-12,  5.733435042766693E-02,
