Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Mercury Barycenter [1]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: July 31, 2013              Mercury                            199 / 1

 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.78        Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =   +-0.91        Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:40:22 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury Barycenter (199)        {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9630912754977030E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.203807438143263E-01,  2.940178939552396E-01,  7.074902659146875E+00,  4.756100073596848E+01,  2.787462099505670E+01,  2.458889495672598E+06,  4.258516553924544E+00,  1.918070244321566E+02,  1.877461322610046E+02,  3.771301075780719E-01,  4.602423212009042E-01,  8.453648011963999E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.187506404593892E-01,  2.921947017473223E-01,  7.124393406376875E+00,  4.806253362036509E+01,  3.260107567333115E+01,  2.458890894517690E+06,  4.311924556354183E+00,  2.309159942413183E+02,  2.145508927470436E+02,  3.740095248450997E-01,  4.558243479428771E-01,  8.348940137867045E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.956235198593900E-01,  3.003106253986215E-01,  7.131047510839140E+00,  4.882235909840613E+01,  3.429419240360759E+01,  2.458892133555774E+06,  4.323427143016934E+00,  2.725908706010489E+02,  2.505067050875451E+02,  3.733458558436782E-01,  4.463810862887351E-01,  8.326727572626287E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.867043246991027E-01,  3.130243272048175E-01,  7.049828832308412E+00,  4.959606844466077E+01,  2.315376937912498E+01,  2.458890846195057E+06,  4.130481730184163E+00,  3.270709939684987E+02,  3.127948558940018E+02,  3.848837965221037E-01,  4.567432658393899E-01,  8.715690408923534E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.352320768508727E-01,  3.140341341501340E-01,  6.894047208957690E+00,  4.938842018616823E+01,  2.640136824996408E+01,  2.458891276132395E+06,  3.748213826158669E+00,  9.579938293315001E+00,  1.584287747673134E+01,  4.106267073245152E-01,  5.072192804988963E-01,  9.604574784063038E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.049430083936816E-01,  3.213879718913061E-01,  6.851240866055585E+00,  4.821686980273182E+01,  3.602571500734329E+01,  2.458892437745761E+06,  3.837497541946710E+00,  4.740174528182886E+01,  6.782841722225908E+01,  4.042326214149501E-01,  4.870772709385942E-01,  9.381113500788769E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.866389788197159E-01,  3.173269393403253E-01,  6.916606449038991E+00,  4.748003028595024E+01,  2.893575260660108E+01,  2.458890930016429E+06,  4.047247529386166E+00,  1.004445226925035E+02,  1.202251896453649E+02,  3.901427915488819E-01,  4.629586437574384E-01,  8.894934085106480E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.035916097829663E-01,  3.045452613154269E-01,  7.001021362340862E+00,  4.731409386716318E+01,  2.502415186831183E+01,  2.458890927241729E+06,  4.170816835034418E+00,  1.492266473310006E+02,  1.589655593421312E+02,  3.823983587521391E-01,  4.602514561888513E-01,  8.631402774057068E+01,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  2.198432232460804E-01,  2.946264458550409E-01,  7.075081802179426E+00,  4.752668293568477E+01,  2.737719352807315E+01,  2.458977390263910E+06,  4.249720668074451E+00,  1.911744751945265E+02,  1.873371872579685E+02,  3.776503064947075E-01,  4.606741671343741E-01,  8.471145002645927E+01,
