Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Metis (JXVI) [516]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 02, 2013             Metis  / (Jupiter)                       516

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  20 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.05-0.10
                                            V(1,0)              = +10.8 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 127.96 (10^3)   Orbital period      = 0.294780 d
  Eccentricity, e         =  < 0.004        Rotational period   = Synchronous 
  Inclination, i  (deg)   =  ~ 0 
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:12:19 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Metis (516)                     {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458408338699E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  5.808644686795691E-03,  8.549042610881954E-04,  2.217558703343735E+00,  3.375025467208399E+02,  2.907296940796952E+02,  2.458849998711810E+06,  1.207778214189806E+03,  1.555847046241189E+00,  1.574051642625900E+00,  8.598991094816666E-04,  8.648939578751378E-04,  2.980679695746067E-01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  7.525701271168983E-03,  8.557755759924715E-04,  2.202499804052017E+00,  3.377628259558840E+02,  3.496770097544626E+02,  2.458860953985138E+06,  1.202811336522717E+03,  4.829121081688516E+00,  4.902406780678493E+00,  8.622647227122714E-04,  8.687538694320713E-04,  2.992988086067983E-01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  7.450548562654320E-03,  8.553315263850179E-04,  2.213701951372585E+00,  3.381247602765357E+02,  5.557630432862257E+01,  2.458871915087864E+06,  1.203884855242765E+03,  1.098106366375447E+00,  1.114622081695919E+00,  8.617520518966408E-04,  8.681725774082636E-04,  2.990319202307811E-01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  7.538904576846903E-03,  8.551518329768871E-04,  2.226727381255379E+00,  3.378188431613227E+02,  1.126048732962120E+02,  2.458882868330571E+06,  1.204103533914640E+03,  6.826579223477494E+00,  6.930235192301745E+00,  8.616477128630196E-04,  8.681435927491522E-04,  2.989776126888442E-01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  7.367137446503524E-03,  8.549366327642400E-04,  2.214170229273806E+00,  3.374938324193961E+02,  1.921105446686896E+02,  2.458893840084156E+06,  1.204870924862122E+03,  3.502596354324349E+02,  3.501155009539376E+02,  8.612818142701421E-04,  8.676269957760440E-04,  2.987871916995559E-01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  8.454854399235349E-03,  8.562658963212073E-04,  2.202429832872341E+00,  3.378474316680488E+02,  2.401159393055503E+02,  2.458904786423649E+06,  1.200091082531874E+03,  4.291947332641010E+00,  4.365226996457335E+00,  8.635672315277249E-04,  8.708685667342426E-04,  2.999772310952393E-01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  5.767269162045485E-03,  8.544158115262336E-04,  2.216906506137212E+00,  3.381262096396209E+02,  3.174871602513348E+02,  2.458915756898972E+06,  1.208889512172389E+03,  3.492421259464411E+02,  3.491178870860865E+02,  8.593720413993198E-04,  8.643282712724061E-04,  2.977939641093219E-01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  8.144532379601784E-03,  8.569274139696622E-04,  2.226518660278976E+00,  3.377402162668440E+02,  1.345247404942889E+01,  2.458926709214427E+06,  1.199264486120662E+03,  3.561450522602448E+02,  3.560816625203424E+02,  8.639639967157236E-04,  8.710005794617850E-04,  3.001839912432620E-01,
