Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Mimas (SI) [601]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020             Mimas / (Saturn)                         601
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 198.8   +- 1.5   Density (g/cm^3)  = 1.152 +- 0.027
  Mass (10^19 kg)         =   3.75           Geometric Albedo  = 0.6 
  GM (km^3/s^2)           =   2.503617       V(1,0)            = +3.3

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 185.54(10^3)    Orbital period     = 0.9424218 d
  Eccentricity, e         = 0.0196          Rotational period  = Synchronous
  Inclination, i  (deg)   = 1.572
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:15:58 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mimas (601)                     {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4597043985320853E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.364480796732439E-02,  1.218237045618180E-03,  2.939844857354874E+01,  1.712148245084370E+02,  2.107012968503036E+02,  2.458850053794422E+06,  3.781066221819298E+02,  3.396599729571129E+02,  3.386914114236048E+02,  1.247739609067812E-03,  1.277242172517445E-03,  9.521123907393040E-01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.582086839651535E-02,  1.226880592141353E-03,  2.952266721332358E+01,  1.706702362955779E+02,  2.264631648143469E+02,  2.458861406398454E+06,  3.786238871348119E+02,  1.902256343951687E+02,  1.899099427372075E+02,  1.246602933088456E-03,  1.266325274035558E-03,  9.508116424567246E-01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.299583110653652E-02,  1.217742085167201E-03,  2.959583389579511E+01,  1.700735276275522E+02,  2.432441589401693E+02,  2.458871810873938E+06,  3.787144520491566E+02,  3.981275897936834E+01,  4.153777912665326E+01,  1.246404185302907E-03,  1.275066285438613E-03,  9.505842675189815E-01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.786679904388389E-02,  1.222578997637358E-03,  2.962439306471288E+01,  1.694698063566668E+02,  2.409207911976854E+02,  2.458883115208156E+06,  3.794376474581074E+02,  2.684765446572628E+02,  2.664315327886871E+02,  1.244819945448505E-03,  1.267060893259652E-03,  9.487724858397099E-01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.001416582861820E-02,  1.218421164636667E-03,  2.959137587959481E+01,  1.688772603071915E+02,  2.693574904544578E+02,  2.458893552104622E+06,  3.801314234240651E+02,  1.063970285888275E+02,  1.085812427960082E+02,  1.243304874571878E-03,  1.268188584507089E-03,  9.470408859053808E-01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.044305599119853E-02,  1.216558116969984E-03,  2.950495136129787E+01,  1.682862833015006E+02,  2.670092606843396E+02,  2.458904855451051E+06,  3.807548699996872E+02,  3.350791936294357E+02,  3.340687602867470E+02,  1.241947315478428E-03,  1.267336513986872E-03,  9.454902047616510E-01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.811742481772170E-02,  1.218173467940303E-03,  2.937106953368207E+01,  1.677382751587641E+02,  2.880412826676036E+02,  2.458916219093091E+06,  3.813518446818255E+02,  1.803477806718384E+02,  1.803354582713090E+02,  1.240650866743571E-03,  1.263128265546839E-03,  9.440101182684980E-01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.040127211797709E-02,  1.214155000316303E-03,  2.918913747828844E+01,  1.672537196595825E+02,  2.961039636778392E+02,  2.458926605054888E+06,  3.819102777279714E+02,  3.855197568250677E+01,  4.003841437787126E+01,  1.239441177043392E-03,  1.264727353770480E-03,  9.426297771866258E-01,
