Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Miranda (UV) [705]
Center [change] : 	Uranus System Barycenter [500@7]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Miranda / (Uranus)                       705

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 240x234.2x232.9   Density (g cm^-3)   =  1.20 +- 0.14
  Mass (10^20 kg )      =  0.659 +- 0.075   Geometric Albedo    =  0.27 
                                            V(1,0)              = +3.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 129.8 (10^3)    Orbital period      =  1.413 d
  Eccentricity, e         =   0.0027        Rotational period   = Synchronous
  Inclination, i  (deg)   =   4.22
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:19:05 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Miranda (705)                   {source: ura111}
Center body name: Uranus Barycenter (7)           {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.2920219363850306E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.440566369740136E-03,  8.669462539768170E-04,  1.004998833968466E+02,  1.711146053909352E+02,  2.938382222523214E+02,  2.458849741838573E+06,  2.545834648385720E+02,  6.572363063224036E+01,  6.587422143580393E+01,  8.681969493042957E-04,  8.694476446317743E-04,  1.414074555974290E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.569044545795123E-03,  8.671836612598995E-04,  1.005345282244857E+02,  1.710856296981815E+02,  2.871635855073616E+02,  2.458861023664159E+06,  2.544298150670792E+02,  3.432930801369085E+02,  3.432412948639859E+02,  8.685464493289889E-04,  8.699092373980784E-04,  1.414928513409829E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.110953290270354E-03,  8.669655225955694E-04,  1.005715281681005E+02,  1.710556885430509E+02,  3.024177524398809E+02,  2.458872391387832E+06,  2.547010364187562E+02,  2.389182264579167E+02,  2.388092758969281E+02,  8.679297520092878E-04,  8.688939814230060E-04,  1.413421810377405E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.062996469738926E-03,  8.672946621685870E-04,  1.006060939769133E+02,  1.710244257770250E+02,  3.050762853500639E+02,  2.458882296018050E+06,  2.545743931953968E+02,  1.471394041133123E+02,  1.472054243640876E+02,  8.682175743851235E-04,  8.691404866016599E-04,  1.414124945880494E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.462312389400819E-03,  8.664476860214032E-04,  1.006428247543293E+02,  1.709938128951486E+02,  2.925489785988664E+02,  2.458893555151130E+06,  2.547949102061014E+02,  7.053968295173667E+01,  7.069777489315607E+01,  8.677165586956723E-04,  8.689854313699414E-04,  1.412901065051885E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.276328005861959E-03,  8.668674620441754E-04,  1.006773657838810E+02,  1.709620035299742E+02,  2.960392126058561E+02,  2.458904876656009E+06,  2.546809954833757E+02,  3.379303613453008E+02,  3.378753265923551E+02,  8.679752832065276E-04,  8.690831043688797E-04,  1.413533033027189E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.354296031040575E-03,  8.664642489366311E-04,  1.007124671749355E+02,  1.709307936745392E+02,  3.108449525465347E+02,  2.458916242410812E+06,  2.548289478521322E+02,  2.340098130515632E+02,  2.338843702569989E+02,  8.676392893826170E-04,  8.688143298286029E-04,  1.412712343061176E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.369116462325311E-03,  8.667874707278760E-04,  1.007457063868556E+02,  1.708981066376442E+02,  2.967758546950094E+02,  2.458926081782443E+06,  2.546807545038409E+02,  1.589761985129969E+02,  1.590323936258411E+02,  8.679758307266243E-04,  8.691641907253726E-04,  1.413534370515503E+00,
