Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Neptune Barycenter [8]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jul 31, 2013         Neptune Barycenter                             8
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Neptune system. The point about 
 which Neptune and its satellites revolve. See 899 for Neptune center.
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:43:26 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune Barycenter (8)          {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9626354655629047E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  8.751565847329381E-03,  2.981138816826385E+01,  1.770223381966880E+00,  1.317826633611986E+02,  2.724247782903686E+02,  2.468153469988468E+06,  5.979463420139689E-03,  3.043702415235883E+02,  3.035373645128635E+02,  3.007458790464262E+01,  3.033778764102139E+01,  6.020607113131060E+04,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  8.751437648632577E-03,  2.981138947715688E+01,  1.770223378158085E+00,  1.317826632716436E+02,  2.724248781274406E+02,  2.468153487348752E+06,  5.979464186330792E-03,  3.044356535587138E+02,  3.036034310280621E+02,  3.007458533552924E+01,  3.033778119390161E+01,  6.020606341668024E+04,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  8.751308452322699E-03,  2.981139068664478E+01,  1.770223376362493E+00,  1.317826632293269E+02,  2.724250068502924E+02,  2.468153509455513E+06,  5.979464991456148E-03,  3.045010368678347E+02,  3.036694697159921E+02,  3.007458263586611E+01,  3.033777458508744E+01,  6.020605531003052E+04,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  8.751178330009114E-03,  2.981139179545457E+01,  1.770223376583423E+00,  1.317826632345570E+02,  2.724251645796815E+02,  2.468153536328034E+06,  5.979465835250809E-03,  3.045663913393743E+02,  3.037354804546068E+02,  3.007457980654172E+01,  3.033776781762887E+01,  6.020604681402945E+04,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  8.751047355839082E-03,  2.981139280232641E+01,  1.770223378819785E+00,  1.317826632875393E+02,  2.724253514262044E+02,  2.468153567983900E+06,  5.979466717422920E-03,  3.046317168721448E+02,  3.038014631321230E+02,  3.007457684853476E+01,  3.033776089474311E+01,  6.020603793161604E+04,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  8.750915605932923E-03,  2.981139370606493E+01,  1.770223383073344E+00,  1.317826633885472E+02,  2.724255674784624E+02,  2.468153604437092E+06,  5.979467637643365E-03,  3.046970133868413E+02,  3.038674176586850E+02,  3.007457376294890E+01,  3.033775381983287E+01,  6.020602866610441E+04,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  8.750783158383757E-03,  2.981139450556386E+01,  1.770223389342622E+00,  1.317826635377780E+02,  2.724258127966708E+02,  2.468153645696913E+06,  5.979468595538377E-03,  3.047622808325104E+02,  3.039333439728990E+02,  3.007457055103751E+01,  3.033774659651115E+01,  6.020601902125827E+04,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  8.750650092381202E-03,  2.981139519976665E+01,  1.770223397622414E+00,  1.317826637353403E+02,  2.724260874261250E+02,  2.468153691770206E+06,  5.979469590709315E-03,  3.048275191731427E+02,  3.039992420283797E+02,  3.007456721413736E+01,  3.033773922850808E+01,  6.020600900109185E+04,
