Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Oberon (UIV) [704]
Center [change] : 	Uranus System Barycenter [500@7]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Oberon  / (Uranus)                       704

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 761.4  +- 2.6     Density (g cm^-3)   =  1.63 +- 0.05
  Mass (10^20 kg )      =  30.14 +- 0.75    Geometric Albedo    =  0.24 
                                            V(1,0)              = +1.23

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 582.6 (10^3)    Orbital period      = 13.463 d
  Eccentricity, e         =   0.0008        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.10
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:18:05 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Oberon (704)                    {source: ura111}
Center body name: Uranus Barycenter (7)           {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.2918874862311072E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.389547190777669E-03,  3.891042311932881E-03,  9.790960355645812E+01,  1.677218368444585E+02,  1.716275565061891E+02,  2.458848959790313E+06,  2.673483662269022E+01,  2.780983603785523E+01,  2.793792276734029E+01,  3.900362411977437E-03,  3.909682512021993E-03,  1.346557695791053E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.339782052894143E-03,  3.891306892862645E-03,  9.790957603874135E+01,  1.677218187839770E+02,  1.674167359084103E+02,  2.458862266680683E+06,  2.673411029902768E+01,  3.250135862838920E+02,  3.248594824290634E+02,  3.900433056125882E-03,  3.909559219389120E-03,  1.346594279642413E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.812269554401462E-03,  3.893403947617391E-03,  9.790964061954514E+01,  1.677216356474275E+02,  1.497496446960226E+02,  2.458875068705039E+06,  2.673370317519810E+01,  2.757165193096349E+02,  2.755098350969046E+02,  3.900472655458654E-03,  3.907541363299917E-03,  1.346614786738509E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.638037876115852E-03,  3.893865912568441E-03,  9.790961889808719E+01,  1.677216270508323E+02,  1.485486631216621E+02,  2.458888487959382E+06,  2.673594435216211E+01,  2.099054943561545E+02,  2.098120758178995E+02,  3.900254677456614E-03,  3.906643442344786E-03,  1.346501904919199E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  8.840359348475683E-04,  3.896675092316769E-03,  9.790959029986355E+01,  1.677215155983581E+02,  1.427667701337112E+02,  2.458888269347879E+06,  2.673729897268410E+01,  1.487302928448952E+02,  1.487828263183862E+02,  3.900122941147066E-03,  3.903570789977364E-03,  1.346433685645623E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  7.437554577217694E-04,  3.897195346750845E-03,  9.790955976618375E+01,  1.677215039670910E+02,  1.539730729553175E+02,  2.458902153162756E+06,  2.673757535456934E+01,  7.050263451478888E+01,  7.058300027438156E+01,  3.900096064484445E-03,  3.902996782218045E-03,  1.346419767783759E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  4.345440920698893E-04,  3.897663073927664E-03,  9.790957209519571E+01,  1.677214581857407E+02,  1.790619985857309E+02,  2.458916555490440E+06,  2.674517195681952E+01,  3.384035293223495E+02,  3.383851921202232E+02,  3.899357516699413E-03,  3.901051959471163E-03,  1.346037335565557E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  9.132611693702992E-04,  3.896565225106140E-03,  9.790962645366901E+01,  1.677214197903062E+02,  2.190249452469249E+02,  2.458931512855860E+06,  2.673725662056549E+01,  2.314778613187063E+02,  2.313960431735203E+02,  3.900127059705380E-03,  3.903688894304620E-03,  1.346435818411897E+01,
