Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Phobos (MI) [401]
Center [change] : 	Mars Barycenter [500@4]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Sep 28, 2012             Phobos / (Mars)                          401

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 13.1 x11.1 x9.3 Density (g cm^-3)   =  1.90 +- 0.08
  Mass (10^20 kg )        =  1.08 (10^-4)   Geometric Albedo    =  0.06 
                                 (+- 0.1)   V(1,0)              = +11.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 9.3772(10^3)    Orbital period      = 0.319 d
  Eccentricity, e         = 0.0151          Rotational period   = Synchronous
  Inclination, i  (deg)   = 1.082
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:05:36 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Mars Barycenter (4)             {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 9.5495482214524816E-11 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.526823858082439E-02,  6.173415466839821E-05,  2.563294694189184E+01,  8.265972951707860E+01,  2.832497924934427E+02,  2.458850050749519E+06,  1.127983392915853E+03,  3.027553847273322E+02,  3.012688033965643E+02,  6.269134102004409E-05,  6.364852737168995E-05,  3.191536349390703E-01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.525558467821829E-02,  6.174022105125293E-05,  2.562965903142938E+01,  8.286643254928231E+01,  2.907238627454350E+02,  2.458860900382844E+06,  1.127838888233333E+03,  6.498286902225477E+01,  6.657968790668784E+01,  6.269669580312194E-05,  6.365317055499094E-05,  3.191945265905047E-01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.476950660291719E-02,  6.176138295084585E-05,  2.563455418306887E+01,  8.307472706152880E+01,  2.934446613148127E+02,  2.458872064963582E+06,  1.128094014270132E+03,  1.919550747032089E+02,  1.916107165701009E+02,  6.268724259426045E-05,  6.361310223767506E-05,  3.191223386048344E-01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.537453046567731E-02,  6.172944989577746E-05,  2.564730428766489E+01,  8.328001983524554E+01,  2.972667061930579E+02,  2.458882911387754E+06,  1.127929703333990E+03,  3.178292412947003E+02,  3.166294837507139E+02,  6.269333041422574E-05,  6.365721093267401E-05,  3.191688266883072E-01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.513766027987079E-02,  6.174507465209154E-05,  2.566740271498901E+01,  8.348146761889777E+01,  3.045563137117744E+02,  2.458893760854096E+06,  1.127908479034701E+03,  8.024606821450986E+01,  8.196088217634539E+01,  6.269411689519753E-05,  6.364315913830353E-05,  3.191748326141666E-01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.481718413031680E-02,  6.175769484722846E-05,  2.569471426478028E+01,  8.368056524027683E+01,  3.070115409742580E+02,  2.458904925190474E+06,  1.128113175766382E+03,  2.074898452633568E+02,  2.067187982944038E+02,  6.268653274540831E-05,  6.361537064358816E-05,  3.191169181721812E-01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.547405103920199E-02,  6.172478718178873E-05,  2.572984142635249E+01,  8.387266941585150E+01,  3.114100885348414E+02,  2.458915772115343E+06,  1.127886489576463E+03,  3.328006310760916E+02,  3.319759753170296E+02,  6.269493175567532E-05,  6.366507632956191E-05,  3.191810552985567E-01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.504665500167095E-02,  6.174789582373413E-05,  2.577208675513757E+01,  8.405559034077159E+01,  3.182408078877583E+02,  2.458926621165516E+06,  1.127987509048715E+03,  9.569223776555673E+01,  9.740450552485572E+01,  6.269118850887184E-05,  6.363448119400956E-05,  3.191524703173397E-01,
