Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Pluto (134340) [999]
Center [change] : 	Pluto System Barycenter [500@9]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: November 5, 2015          134340 Pluto                            999
 
 NOTE: Pre-computed solution PLU055/DE433; a fit to all available observations 
 including New Horizons spacecraft encounter tracking.

 PHYSICAL DATA (updated 2018-Aug-15; Mc= Charon mass, radius is IAU 2009):
  Mass x10^22 (kg)      = 1.307+-0.018    Volume, 10^10 km^3    = 0.697
  GM (planet) km^3/s^2  = 869.33907803    Density (R=1195 km)   = 1.86 g/cm^3
  GM 1-sigma, km^3/s^2  =   1.5           Surface gravity       = 0.611 m/s^2 
  Vol. mean radius (km) = 1188.3+-1.6     Mass ratio (Mc/Mp)    = 0.117
  Sidereal rot. period  = 153.29335198 h  Sid. rot. rat, rad/s  = 0.0000113856
  Mean solar day, h     = 153.2820        Mean orbit velocity   = 4.67 km/s
  Sidereal orbit period = 249.58932 yr    Escape speed, km/s    = 1.21            
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.56        0.56        0.88
  Maximum Planetary IR (W/m^2)   0.8         0.3         0.5
  Minimum Planetary IR (W/m^2)   0.8         0.3         0.5
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:21:15 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Pluto Barycenter (9)            {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9149855430371055E-15 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  3.599109502751877E-02,  1.327242228534017E-05,  1.128958367873927E+02,  2.274021133451241E+02,  2.097169314229481E+02,  2.458847030549043E+06,  6.055320252100569E+01,  1.798097651432274E+02,  1.798228681589115E+02,  1.376794572838417E-05,  1.426346917142817E-05,  5.945185143182431E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  3.588880275092562E-02,  1.327896449365965E-05,  1.128958701517160E+02,  2.274021288726466E+02,  1.068642879317019E+02,  2.458863927568752E+06,  6.051808970322028E+01,  1.802873719090452E+02,  1.802676321518914E+02,  1.377327068863933E-05,  1.426757688361901E-05,  5.948634561425089E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  3.623491747681524E-02,  1.326991049482817E-05,  1.128958311087720E+02,  2.274021381226789E+02,  4.836515908624328E+00,  2.458868944224182E+06,  6.054741777832889E+01,  1.799333520430387E+02,  1.799379723814265E+02,  1.376882264720246E-05,  1.426773479957675E-05,  5.945753150332549E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  3.578198781040440E-02,  1.328226366757081E-05,  1.128958566865765E+02,  2.274021190334154E+02,  2.626267790386794E+02,  2.458879902959757E+06,  6.050559685281296E+01,  1.797645631958756E+02,  1.797806894514918E+02,  1.377516650763323E-05,  1.426806934769566E-05,  5.949862801547809E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  3.604878143854760E-02,  1.327054545836328E-05,  1.128958365917486E+02,  2.274021511903157E+02,  1.597630619829194E+02,  2.458896800060042E+06,  6.056061251619963E+01,  1.802524658472127E+02,  1.802350498343684E+02,  1.376682263877161E-05,  1.426309981917994E-05,  5.944457710095022E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  3.605783434118013E-02,  1.327543828241073E-05,  1.128958386119713E+02,  2.274021196119755E+02,  5.766048784004997E+01,  2.458901816636293E+06,  6.052628242254250E+01,  1.799666514672372E+02,  1.799689525295092E+02,  1.377202777859338E-05,  1.426861727477604E-05,  5.947829365874304E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  3.598058689450685E-02,  1.327786349580232E-05,  1.128958453959604E+02,  2.274021552024521E+02,  3.152963233255417E+02,  2.458912774265935E+06,  6.051697415784025E+01,  1.799613875752007E+02,  1.799640463868278E+02,  1.377343994871327E-05,  1.426901640162422E-05,  5.948744216144196E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.596573218127369E-02,  1.327340598196633E-05,  1.128958229664175E+02,  2.274021305642721E+02,  2.130312361070188E+02,  2.458923735826624E+06,  6.054886067883098E+01,  1.798406139261830E+02,  1.798515847391132E+02,  1.376860390243121E-05,  1.426380182289609E-05,  5.945611460957890E+00,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  3.592271547109933E-02,  1.327753849000378E-05,  1.128958498720514E+02,  2.274021494809699E+02,  1.102098607392366E+02,  2.458940633272494E+06,  6.052464581975232E+01,  1.802858339576674E+02,  1.802661820893752E+02,  1.377227604371147E-05,  1.426701359741915E-05,  5.947990196788782E+00,
