Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Proteus (NVIII) [808]
Center [change] : 	Neptune System Barycenter [500@8]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 14, 2018            Proteus  / (Neptune)                      808

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 218 x 208 x 201 Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +5.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 117.647(10^3)   Orbital period      = 1.122315 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.55

 Fir to all reported measurements through 2008, as described in AJ (2009).
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:20:39 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Proteus (808)                   {source: nep090_merged_DE435}
Center body name: Neptune Barycenter (8)          {source: nep090_merged_DE435}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.5243573478851101E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  9.085707929007854E-04,  7.859756273827242E-04,  2.906948912697982E+01,  4.872053464522457E+01,  1.534152668532049E+02,  2.458849845485933E+06,  3.205975935405328E+02,  4.953683798761740E+01,  4.961610916364822E+01,  7.866903912953110E-04,  7.874051552078977E-04,  1.122903001311785E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  7.988704022741463E-04,  7.850867062818949E-04,  2.906119204064604E+01,  4.873453038238083E+01,  2.266507064330333E+02,  2.458861296416541E+06,  3.211951403211552E+02,  2.513022517167705E+02,  2.512155671137361E+02,  7.857143902529088E-04,  7.863420742239229E-04,  1.120813968854089E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.137555474229970E-04,  7.868306761936559E-04,  2.906690160332392E+01,  4.873366103669792E+01,  1.343764389687665E+02,  2.458872232789642E+06,  3.203129580597667E+02,  2.585281728861531E+02,  2.584817119626430E+02,  7.871563665069874E-04,  7.874820568203189E-04,  1.123900831800967E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.149438644488965E-03,  7.853098295178686E-04,  2.905527697006921E+01,  4.873158767768763E+01,  2.073499821373364E+02,  2.458882560992941E+06,  3.208893130764199E+02,  1.004406199706164E+02,  1.005701213187155E+02,  7.862135337363652E-04,  7.871172379548620E-04,  1.121882173477887E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  5.888430969337695E-04,  7.856634691521944E-04,  2.905780708813349E+01,  4.876101508908729E+01,  2.802013755702993E+02,  2.458894010843194E+06,  3.209426810718268E+02,  3.026015859954323E+02,  3.025447187631927E+02,  7.861263742409839E-04,  7.865892793297733E-04,  1.121695621154957E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  6.359694679709880E-04,  7.867162815464593E-04,  2.906760992411177E+01,  4.875308329632328E+01,  1.566918771648710E+02,  2.458904849291697E+06,  3.202759960299549E+02,  3.410102928020160E+02,  3.409865609996186E+02,  7.872169274770047E-04,  7.877175734075500E-04,  1.124030537606477E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  7.100242892472510E-04,  7.852250515698615E-04,  2.906302622979615E+01,  4.876182407672336E+01,  2.460463288598024E+02,  2.458915229284523E+06,  3.211530884223610E+02,  1.665870774175710E+02,  1.666059346435129E+02,  7.857829765693029E-04,  7.863409015687442E-04,  1.120960728630920E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.317693487963444E-04,  7.863516317909997E-04,  2.907592800614641E+01,  4.877094730871785E+01,  8.540288021277279E+01,  2.458927073250344E+06,  3.206451489900812E+02,  2.422429587098132E+02,  2.422093219533905E+02,  7.866126057429620E-04,  7.868735796949242E-04,  1.122736461580263E+00,
