Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Rhea (SV) [605]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020            Rhea  / (Saturn)                          605
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 764.5  +- 2     Density (g/cm^3)  =  1.233 +- 0.010
  Mass (10^19 kg)         = 230.9           Geometric Albedo  =  0.6
  GM (km^3/s^2)           = 153.94 +- 0.16  V(1,0)            = +0.1

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 527.07(10^3)    Orbital period    = 4.518 d
  Eccentricity, e         = 0.001           Rotational period = Synchronous
  Inclination, i  (deg)   = 0.331
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:14:35 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Rhea (605)                      {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4596030999086004E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.449159122877078E-03,  3.513616366192028E-03,  2.790857009072176E+01,  1.701617992227757E+02,  1.922222330129667E+02,  2.458852064020289E+06,  7.984015783031315E+01,  1.952082943846100E+02,  1.951648077079935E+02,  3.518715544924765E-03,  3.523814723657503E-03,  4.509009122516010E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  6.508350550754493E-04,  3.520189679822085E-03,  2.791028297026764E+01,  1.701633583139444E+02,  1.919705835837408E+02,  2.458861099451245E+06,  7.971212906559008E+01,  3.487246201139460E+02,  3.487100261948719E+02,  3.522482234741335E-03,  3.524774789660585E-03,  4.516251218227764E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.963460809785125E-04,  3.527469849518213E-03,  2.791159629323645E+01,  1.701630916670898E+02,  2.928108202286627E+02,  2.458871398872859E+06,  7.950777130771502E+01,  4.111562645371767E+01,  4.113796331306663E+01,  3.528515511261647E-03,  3.529561173005082E-03,  4.527859278141626E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  7.864723972895404E-04,  3.521044188981129E-03,  2.791332384950608E+01,  1.701652005079404E+02,  1.470821591097165E+02,  2.458883124143408E+06,  7.966689124832615E+01,  3.400718523137848E+02,  3.400411062131005E+02,  3.523815572662166E-03,  3.526586956343203E-03,  4.518815713266128E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.261276574074032E-03,  3.514160728216533E-03,  2.791577117330838E+01,  1.701668667940313E+02,  1.349936461042143E+02,  2.458892010724204E+06,  7.984413639388303E+01,  1.454181930330293E+02,  1.455001202675402E+02,  3.518598654272736E-03,  3.523036580328940E-03,  4.508784442530210E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.140373261864762E-03,  3.519778247920990E-03,  2.791694741210063E+01,  1.701675961340256E+02,  1.649091377833226E+02,  2.458905935318314E+06,  7.966753155611168E+01,  2.687553170309807E+02,  2.686246748731044E+02,  3.523796691448165E-03,  3.527815134975339E-03,  4.518779394419214E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.719583287305587E-03,  3.522596203283779E-03,  2.791882105516180E+01,  1.701683106722190E+02,  1.996926368369360E+02,  2.458915405852230E+06,  7.950275156121570E+01,  2.720168919138550E+01,  2.729193786401618E+01,  3.528664034984856E-03,  3.534731866685933E-03,  4.528145163916829E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.017654569080577E-03,  3.518273768465387E-03,  2.792035556515401E+01,  1.701696846280458E+02,  1.964055618173748E+02,  2.458928916942356E+06,  7.973332965654534E+01,  1.837142042554991E+02,  1.837066595728008E+02,  3.521857803150416E-03,  3.525441837835445E-03,  4.515050375429134E+00,
