Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Saturn Barycenter [6]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jul 31, 2013           Saturn Barycenter                            6
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Saturn system. The point about which
 Saturn and its satellites revolve. See 699 for Saturn center.
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:42:25 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn Barycenter (6)           {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9605555619310214E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  5.487828712296245E-02,  9.012691135838354E+00,  2.487714291140163E+00,  1.135945063129140E+02,  3.391576813103633E+02,  2.463579182113034E+06,  3.347797025943298E-02,  2.016765818684052E+02,  1.994938099974622E+02,  9.536011090468859E+00,  1.005933104509936E+01,  1.075334009828639E+04,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  5.489196988787465E-02,  9.012460177879120E+00,  2.487727985046086E+00,  1.135944997977273E+02,  3.391549457941084E+02,  2.463578995410838E+06,  3.347853012449540E-02,  2.020470424127709E+02,  1.998279610879028E+02,  9.535904775679350E+00,  1.005934937347958E+01,  1.075316026902259E+04,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  5.490556438753387E-02,  9.012231775493001E+00,  2.487741551722482E+00,  1.135944951516000E+02,  3.391520163453483E+02,  2.463578803743641E+06,  3.347908047108906E-02,  2.024177264622596E+02,  2.001623774492372E+02,  9.535800271274105E+00,  1.005936876705521E+01,  1.075298350296326E+04,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  5.491905820073669E-02,  9.012006177401407E+00,  2.487754974160303E+00,  1.135944923442224E+02,  3.391488892119346E+02,  2.463578607105459E+06,  3.347962057189872E-02,  2.027886373223206E+02,  2.004970641603672E+02,  9.535697715207519E+00,  1.005938925301363E+01,  1.075281003340186E+04,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  5.493243868564503E-02,  9.011783635190309E+00,  2.487768235174310E+00,  1.135944913386175E+02,  3.391455608459700E+02,  2.463578405497904E+06,  3.348014969524307E-02,  2.031597780317956E+02,  2.008320261053808E+02,  9.535597246250999E+00,  1.005941085731169E+01,  1.075264009500978E+04,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  5.494569301705438E-02,  9.011564402440708E+00,  2.487781317386475E+00,  1.135944920910402E+02,  3.391420279449749E+02,  2.463578198931096E+06,  3.348066710794492E-02,  2.035311513186909E+02,  2.011672679324656E+02,  9.535499003448624E+00,  1.005943360445654E+01,  1.075247392291572E+04,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  5.495880825578163E-02,  9.011348733310820E+00,  2.487794203243286E+00,  1.135944945508707E+02,  3.391382874879062E+02,  2.463577987424169E+06,  3.348117207955111E-02,  2.039027595633225E+02,  2.015027940179614E+02,  9.535403125316680E+00,  1.005945751732254E+01,  1.075231175135212E+04,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  5.497177140283462E-02,  9.011136881490774E+00,  2.487806875160169E+00,  1.135944986605560E+02,  3.391343367383368E+02,  2.463577771004899E+06,  3.348166388528692E-02,  2.042746047973486E+02,  2.018386084631868E+02,  9.535309749283613E+00,  1.005948261707645E+01,  1.075215381270813E+04,
