Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Sun [Sol] [10]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:39:15 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 7.1301670739887768E-13 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.699918391482640E-01,  5.370950135971434E-03,  1.550776078053948E+00,  1.112028107303100E+02,  2.330428049150967E+02,  2.457457485622346E+06,  7.666327671259975E-02,  1.067547150603448E+02,  1.328327274912974E+02,  7.357383689662983E-03,  9.343817243354533E-03,  4.695859809770345E+03,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.670623674474891E-01,  5.416633666959895E-03,  1.542553050478908E+00,  1.111696836144359E+02,  2.339620667034984E+02,  2.457459400002283E+06,  7.615156272216708E-02,  1.067308317718877E+02,  1.325731981095466E+02,  7.390306386774078E-03,  9.363979106588260E-03,  4.727414476225936E+03,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.644388408605064E-01,  5.460577170950388E-03,  1.534531815409525E+00,  1.111337274921877E+02,  2.349211832700345E+02,  2.457462267597719E+06,  7.563848903118764E-02,  1.066236752137931E+02,  1.322752601147945E+02,  7.423688843682990E-03,  9.386800516415593E-03,  4.759481642362832E+03,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.621738833516823E-01,  5.502811067573437E-03,  1.527834074698518E+00,  1.111007040786391E+02,  2.359367007468357E+02,  2.457466397449422E+06,  7.511499075382579E-02,  1.063986229996591E+02,  1.319166074802772E+02,  7.458140805005325E-03,  9.413470542437212E-03,  4.792651858000319E+03,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.601747127636245E-01,  5.547394965202021E-03,  1.525445288476406E+00,  1.110880211445012E+02,  2.371327299652768E+02,  2.457472858774694E+06,  7.451309636007068E-02,  1.058811148623240E+02,  1.313557945686993E+02,  7.498250007004180E-03,  9.449105048806338E-03,  4.831365459037790E+03,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.574979767786337E-01,  5.607538478907143E-03,  1.526223985153446E+00,  1.110925529885337E+02,  2.387204356891202E+02,  2.457481613466564E+06,  7.371579507820838E-02,  1.049105896988873E+02,  1.303852423534003E+02,  7.552219796760521E-03,  9.496901114613899E-03,  4.883620933859018E+03,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.538892370977614E-01,  5.683011528094169E-03,  1.525927005870899E+00,  1.110906507079822E+02,  2.406086049259265E+02,  2.457491163160114E+06,  7.277959547914976E-02,  1.036807083726581E+02,  1.291204861918732E+02,  7.616847002700058E-03,  9.550682477305948E-03,  4.946441342932917E+03,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.496280904746878E-01,  5.769348286499300E-03,  1.524468778501179E+00,  1.110809165301167E+02,  2.427096403272136E+02,  2.457501322766555E+06,  7.176244069594513E-02,  1.022889797591166E+02,  1.276509835808819E+02,  7.688651738241385E-03,  9.607955189983471E-03,  5.016551785429190E+03,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  2.448109241562659E-01,  5.865327587521028E-03,  1.522282838881133E+00,  1.110653861789783E+02,  2.450059168856846E+02,  2.457512207324752E+06,  7.068343137658685E-02,  1.007561690851636E+02,  1.259926695481518E+02,  7.766700784128794E-03,  9.668073980736561E-03,  5.093131346184846E+03,
