Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Tethys (SIII) [603]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020            Tethys  / (Saturn)                        603
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 536.3  +- 1.5     Density (g/cm^3)  =  0.956+- 0.008
  Mass (10^19 kg)        =  61.76 +- 0.11    Geometric Albedo  =  0.80
  GM (km^3/s^2)          =  41.21 +- 0.007   V(1,0)            = +0.7

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)=  294.670(10^3)    Orbital period    =  1.888 d
  Eccentricity, e        =     0.0001        Rotational period = Synchronous
  Inclination, i  (deg)  =     1.091
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:14:56 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Tethys (603)                    {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4596785044773792E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  4.204869903072256E-04,  1.966127635566320E-03,  2.715778092701712E+01,  1.681656114494243E+02,  1.687339042751344E+02,  2.458850884625241E+06,  1.910328346321207E+02,  1.910075326277535E+02,  1.909983371637090E+02,  1.966954714434263E-03,  1.967781793302206E-03,  1.884492792525777E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.576785525682130E-04,  1.966657552657299E-03,  2.713441719642606E+01,  1.682399785881935E+02,  1.719488607912614E+02,  2.458860343359124E+06,  1.909449716713420E+02,  1.173625847036877E+02,  1.174091506586456E+02,  1.967558061783110E-03,  1.968458570908921E-03,  1.885359938252989E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  8.368969791062572E-04,  1.968213771862388E-03,  2.711241063862585E+01,  1.683157740253969E+02,  1.639007586715075E+02,  2.458871627505817E+06,  1.906100276958318E+02,  5.498988430059533E+01,  5.506847950362063E+01,  1.969862343707091E-03,  1.971510915551795E-03,  1.888672932645884E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.350764256902639E-03,  1.970434026947035E-03,  2.709185016997630E+01,  1.683961127819337E+02,  1.175656798835653E+02,  2.458882711319105E+06,  1.901411756391945E+02,  3.093233656942584E+01,  3.101201597398178E+01,  1.973099218847177E-03,  1.975764410747318E-03,  1.893330041690306E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.883161769375813E-03,  1.971615591177463E-03,  2.707305204555251E+01,  1.684745355201229E+02,  6.591049038048563E+01,  2.458893767713909E+06,  1.898183829486847E+02,  1.220268186837722E+01,  1.224839962911113E+01,  1.975335467411385E-03,  1.979055343645306E-03,  1.896549714562272E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.911969268869923E-03,  1.971436952608663E-03,  2.705404144538246E+01,  1.685593961907658E+02,  9.507902422097182E+00,  2.458904799301879E+06,  1.898359648389579E+02,  3.582341688759030E+02,  3.582274013502469E+02,  1.975213500120350E-03,  1.978990047632038E-03,  1.896374063288777E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.602050375260811E-03,  1.970125753356198E-03,  2.703917701396827E+01,  1.686418755740098E+02,  3.264503408828203E+02,  2.458915900965601E+06,  1.901140266036746E+02,  3.309190937424053E+02,  3.308297086624509E+02,  1.973287058628972E-03,  1.976448363901746E-03,  1.893600416714554E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.225667781212433E-03,  1.968294958049852E-03,  2.702242727741068E+01,  1.687254449472148E+02,  2.805755496400695E+02,  2.458926987423238E+06,  1.904870038715378E+02,  3.063925305933579E+02,  3.062793686559017E+02,  1.970710394286229E-03,  1.973125830522606E-03,  1.889892710175544E+00,
