Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Thebe (JXIV) [514]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 02, 2013             Thebe / (Jupiter)                        514

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  50 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    = 0.05-0.10 
                                            V(1,0)              = +9.0  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 221.90 (10^3)   Orbital period      = 0.6745 d 
  Eccentricity, e         =   0.015         Rotational period   = 
  Inclination, i  (deg)   =   0.8
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:10:35 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Thebe (514)                     {source: jup310}
Center body name: Jupiter Barycenter (5)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458408338699E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.013724126566266E-02,  1.457714150185172E-03,  3.185902513801357E+00,  3.279837449905379E+02,  8.535358710369053E+01,  2.458849972766686E+06,  5.307594848777157E+02,  1.445433966823647E+01,  1.504469040939723E+01,  1.487671755244645E-03,  1.517629360304119E-03,  6.782733239010172E-01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  1.750672404592502E-02,  1.459346719808620E-03,  3.079686925099781E+00,  3.238219807783998E+02,  1.077583099832316E+02,  2.458860799124361E+06,  5.320042370267007E+02,  8.452251335164988E+01,  8.652324875504203E+01,  1.485350338292631E-03,  1.511353956776641E-03,  6.766863399659954E-01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  1.573939009062571E-02,  1.462540322137195E-03,  2.934092114274001E+00,  3.198219031250055E+02,  1.219676531564700E+02,  2.458871610224788E+06,  5.316940805637582E+02,  1.625788702253515E+02,  1.631088908500188E+02,  1.485927921337682E-03,  1.509315520538168E-03,  6.770810756784992E-01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.688791661250575E-02,  1.459753888027577E-03,  2.757568866790250E+00,  3.162249251117494E+02,  1.321390656327995E+02,  2.458883091365727E+06,  5.322841453131384E+02,  2.442996697885649E+02,  2.425719848747528E+02,  1.484829565920628E-03,  1.509905243813678E-03,  6.763304959763830E-01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.945039729071579E-02,  1.459429254905574E-03,  2.550630711552066E+00,  3.130180458101013E+02,  1.475405712042893E+02,  2.458893906691959E+06,  5.303813214195662E+02,  3.203847800242519E+02,  3.189366505126582E+02,  1.488378814160072E-03,  1.517328373414570E-03,  6.787569347963830E-01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.925864982255631E-02,  1.456582264493252E-03,  2.320182363164959E+00,  3.105816208495370E+02,  1.699900664061451E+02,  2.458904736195223E+06,  5.320931201552017E+02,  2.862915168124136E+01,  2.970929308407159E+01,  1.485184920804772E-03,  1.513787577116292E-03,  6.765733033627546E-01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.633537228551035E-02,  1.461421296440288E-03,  2.073833505013150E+00,  3.090323199548014E+02,  1.901686214238718E+02,  2.458915563026221E+06,  5.318214803263993E+02,  9.837302929154957E+01,  1.002191622616898E+02,  1.485690605583581E-03,  1.509959914726874E-03,  6.769188784534504E-01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.450133537648939E-02,  1.467202295837655E-03,  1.819874073439369E+00,  3.090849722633159E+02,  1.989991188768369E+02,  2.458926370774823E+06,  5.301606666831026E+02,  1.777232033637658E+02,  1.777880439111260E+02,  1.488791764520725E-03,  1.510381233203795E-03,  6.790394358229256E-01,
