Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Titan (SVI) [606]
Center [change] : 	Saturn System Barycenter [500@6]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jan 23, 2020              Titan / (Saturn)                        606
                         http://ssd.jpl.nasa.gov/?sat_phys_par
                           http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 2575.5   +-  2.0  Density (g/cm^3) =  1.880 +- 0.004
  Mass (10^19 kg)        = 13455.3           Geometric Albedo =  0.2 
  GM (km^3/s^2)          = 8978.14  +-  0.06  V(1,0)          = -1.2 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km)= 1221.87 (10^3)  Orbital period     = 15.945421 d
  Eccentricity, e        = 0.0288          Rotational period  = 
  Inclination, i  (deg)  = 0.28
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:13:12 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Titan (606)                     {source: sat427l_merged_DE438}
Center body name: Saturn Barycenter (6)           {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.4537018618351386E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.862969763707778E-02,  7.932282714836241E-03,  2.769810877234622E+01,  1.690711579664171E+02,  1.746022810369415E+02,  2.458857166238657E+06,  2.257491126294530E+01,  1.982227982198934E+02,  1.972306929228895E+02,  8.166074972171210E-03,  8.399867229506180E-03,  1.594690653738727E+01,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.867605077571702E-02,  7.932145017705566E-03,  2.769799340505455E+01,  1.690711676703386E+02,  1.747863850407751E+02,  2.458857173196299E+06,  2.257388318302727E+01,  8.543771662719811E+01,  8.872090489187617E+01,  8.166322908068230E-03,  8.400500798430894E-03,  1.594763280562534E+01,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.871932465019538E-02,  7.931552483588098E-03,  2.769830127641167E+01,  1.690709276797029E+02,  1.746248707595487E+02,  2.458873112123598E+06,  2.257490413462410E+01,  3.329976244352380E+02,  3.314543069354303E+02,  8.166076691201094E-03,  8.400600898814092E-03,  1.594691157283155E+01,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.862286804367325E-02,  7.932576172922739E-03,  2.769831960179825E+01,  1.690706695602670E+02,  1.746074412721121E+02,  2.458889057530663E+06,  2.257389663821078E+01,  2.204136179648387E+02,  2.183441259109255E+02,  8.166319663040399E-03,  8.400063153158058E-03,  1.594762330003004E+01,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.865735480189778E-02,  7.932002369017199E-03,  2.769854506809027E+01,  1.690704670011658E+02,  1.747836528583157E+02,  2.458889064055630E+06,  2.257514390839844E+01,  1.076370303081601E+02,  1.107314434493075E+02,  8.166018869067045E-03,  8.400035369116892E-03,  1.594674219844385E+01,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.874844759692559E-02,  7.931634497468433E-03,  2.769851582983940E+01,  1.690698070739606E+02,  1.746990501287106E+02,  2.458905006171623E+06,  2.257353868757354E+01,  3.551202415108214E+02,  3.548296207059437E+02,  8.166405992190130E-03,  8.401177486911826E-03,  1.594787618292987E+01,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.865282900611346E-02,  7.932038006269126E-03,  2.769864827942567E+01,  1.690700155715461E+02,  1.746609294017977E+02,  2.458920950335530E+06,  2.257514954567644E+01,  2.425564974394507E+02,  2.396911567534127E+02,  8.166017509633586E-03,  8.399997012998048E-03,  1.594673821635643E+01,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.862833477809495E-02,  7.932494134265309E-03,  2.769869188607941E+01,  1.690695254665110E+02,  1.748353888047117E+02,  2.458920956830249E+06,  2.257405626601713E+01,  1.297820814461062E+02,  1.322459012833589E+02,  8.166281165359265E-03,  8.400068196453222E-03,  1.594751052968456E+01,
