Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Titania (UIII) [703]
Center [change] : 	Uranus System Barycenter [500@7]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Titania / (Uranus)                       703

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 788.9  +- 1.8     Density (g cm^-3)   =  1.71 +- 0.05
  Mass (10^20 kg )      =  35.27 +- 0.90    Geometric Albedo    =  0.27 
                                            V(1,0)              = +1.02

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 435.8 (10^3)    Orbital period      = 8.706 d
  Eccentricity, e         =   0.0022        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.10
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:17:38 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Titania (703)                   {source: ura111}
Center body name: Uranus Barycenter (7)           {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.2918730251347241E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.223781403371837E-03,  2.909696796214334E-03,  9.777857166289685E+01,  1.676260148247334E+02,  2.711297038629828E+02,  2.458849093486343E+06,  4.135334708373058E+01,  3.748737391391460E+01,  3.764280055145809E+01,  2.916181746952057E-03,  2.922666697689781E-03,  8.705462202880135E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.152504737270280E-03,  2.909702896334495E-03,  9.777852214502778E+01,  1.676260176695058E+02,  2.703138671115342E+02,  2.458857779701995E+06,  4.135764825156465E+01,  1.314469309348163E+02,  1.316314897720408E+02,  2.915979556142876E-03,  2.922256215951257E-03,  8.704556840617270E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.639215727325829E-03,  2.908112003465649E-03,  9.777838345160494E+01,  1.676261709765458E+02,  2.540805529296123E+02,  2.458874798334518E+06,  4.136131005661466E+01,  2.407828683494355E+02,  2.405193383685770E+02,  2.915807448341165E-03,  2.923502893216682E-03,  8.703786207623455E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  2.717034136155248E-03,  2.908509075993413E-03,  9.777834060797986E+01,  1.676261823021599E+02,  2.538080129671478E+02,  2.458883497809847E+06,  4.134800061824070E+01,  3.342067100422620E+02,  3.340708186597573E+02,  2.916433124348080E-03,  2.924357172702747E-03,  8.706587854726541E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  2.421808266030522E-03,  2.908742549062805E-03,  9.777830893216165E+01,  1.676262576948334E+02,  2.339783483512490E+02,  2.458891725351040E+06,  4.136138199452500E+01,  8.713391236435216E+01,  8.741112488813857E+01,  2.915804067455494E-03,  2.922865585848184E-03,  8.703771069536632E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.420545944142176E-03,  2.909587809869870E-03,  9.777827006688899E+01,  1.676262618160316E+02,  2.346978408184959E+02,  2.458900446428494E+06,  4.134343800963823E+01,  1.795781793040024E+02,  1.795802151977612E+02,  2.916647689605437E-03,  2.923707569341004E-03,  8.707548702555279E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.224014851458560E-03,  2.909886875963435E-03,  9.777819866852494E+01,  1.676262928400489E+02,  2.341691590508879E+02,  2.458917845744920E+06,  4.134928071072538E+01,  2.732597564541411E+02,  2.730052760857867E+02,  2.916372932678104E-03,  2.922858989392772E-03,  8.706318315873906E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.897715293129391E-03,  2.911085761353793E-03,  9.777805980322198E+01,  1.676263034539304E+02,  2.220810537592414E+02,  2.458926259655351E+06,  4.134401237085565E+01,  1.845367867278636E+01,  1.852266888905687E+01,  2.916620677016826E-03,  2.922155592679859E-03,  8.707427735140971E+00,
