Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Triton (NI) [801]
Center [change] : 	Neptune System Barycenter [500@8]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Mar 27, 2009             Triton / (Neptune)                       801

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1352.6 +- 2.4   Density (g cm^-3)   = 2.054 +-0.032
  Mass (10^20 kg )        =  214.7 +- 0.7   Geometric Albedo    =  0.7  
                                            V(1,0)              = -1.24

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 354.76(10^3)    Orbital period      = 5.876854 d (R)
  Eccentricity, e         =                 Rotational period   = Synchronous
  Inclination, i  (deg)   = 156.834

 Fit to all reported measurements through 2008, as described in AJ (2009).
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:20:15 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Triton (801)                    {source: nep081xl}
Center body name: Neptune Barycenter (8)          {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.5234026020225232E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  2.327733821909243E-05,  2.370906973668311E-03,  1.293255199082291E+02,  2.210570693858898E+02,  8.777272622985565E+01,  2.458850075981802E+06,  6.125521151364524E+01,  3.553457186548150E+02,  3.553455022081975E+02,  2.370962163356492E-03,  2.371017353044673E-03,  5.877050966019540E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  2.584594287148463E-05,  2.370914463725783E-03,  1.293240816649146E+02,  2.210647759027775E+02,  4.801532239804084E+01,  2.458861180572301E+06,  6.125468522807367E+01,  3.463664037819413E+02,  3.463657056454649E+02,  2.370975743829407E-03,  2.371037023933031E-03,  5.877101460232599E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  2.078742897035131E-05,  2.370926471288634E-03,  1.293229521950930E+02,  2.210731413309574E+02,  3.584792059913739E+02,  2.458872125519690E+06,  6.125468468749558E+01,  3.471659374800675E+02,  3.471654083431259E+02,  2.370975757778789E-03,  2.371025044268945E-03,  5.877101512098546E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  1.205750269583179E-05,  2.370933585945629E-03,  1.293222890646468E+02,  2.210810268195187E+02,  3.040171573245484E+02,  2.458882990049283E+06,  6.125521110782208E+01,  3.528913766801838E+02,  3.528912056925905E+02,  2.370962173828432E-03,  2.370990761711235E-03,  5.877051004955711E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.349064684870041E-05,  2.370933697304113E-03,  1.293211982953095E+02,  2.210883783606102E+02,  2.417376797902546E+02,  2.458893726961916E+06,  6.125507510939902E+01,  6.434115699216213E+00,  6.434288938249042E+00,  2.370965683164835E-03,  2.370997669025557E-03,  5.877064053175266E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  2.227909199794500E-05,  2.370925534056208E-03,  1.293197545526889E+02,  2.210963487490229E+02,  1.857354145374335E+02,  2.458904566348123E+06,  6.125458394877809E+01,  1.369970267082387E+01,  1.370030732112456E+01,  2.370978357301156E-03,  2.371031180546104E-03,  5.877111177524882E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  2.480430551864273E-05,  2.370912749068838E-03,  1.293188324254317E+02,  2.211046925444167E+02,  1.364161626426241E+02,  2.458915514836585E+06,  6.125484738802071E+01,  1.428238939394425E+01,  1.428309062952412E+01,  2.370971559371773E-03,  2.371030369674707E-03,  5.877085901782905E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  2.275625560341621E-05,  2.370906696129156E-03,  1.293181300409774E+02,  2.211123206991087E+02,  9.988139702510766E+01,  2.458926672035574E+06,  6.125527014914773E+01,  2.080500068102053E+00,  2.080594738768942E+00,  2.370960650315740E-03,  2.371014604502324E-03,  5.877045340318507E+00,
