Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Umbriel (UII) [702]
Center [change] : 	Uranus System Barycenter [500@7]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jun 17, 2016             Umbriel / (Uranus)                       702

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 584.7  +- 2.8     Density (g cm^-3)   =  1.40 +- 0.16
  Mass (10^20 kg )      =  11.72 +- 1.35    Geometric Albedo    =  0.18 
                                            V(1,0)              = +2.10

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 266.0 (10^3)    Orbital period      = 4.144 d
  Eccentricity, e         =   0.0050        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.36
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:18:45 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Umbriel (702)                   {source: ura111}
Center body name: Uranus Barycenter (7)           {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 1.2919679061743229E-08 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  3.918728851237020E-03,  1.771059026751178E-03,  9.770140936782185E+01,  1.676919047124551E+02,  4.752332564838217E+01,  2.458848897038295E+06,  8.686425573800430E+01,  9.580794763048222E+01,  9.625446988208965E+01,  1.778026631008378E-03,  1.784994235265578E-03,  4.144397450267856E+00,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.321931676444750E-03,  1.770147224186794E-03,  9.770145137128333E+01,  1.676919801176739E+02,  4.595934490200202E+01,  2.458861311402990E+06,  8.687860205870697E+01,  3.292968422226025E+02,  3.290427898000134E+02,  1.777830887816209E-03,  1.785514551445624E-03,  4.143713083190901E+00,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.098363128258914E-03,  1.771053690180699E-03,  9.770152255735246E+01,  1.676920355128809E+02,  4.028355756793629E+01,  2.458873679345613E+06,  8.684115152482556E+01,  2.068690364469483E+02,  2.066577485836158E+02,  1.778341981386649E-03,  1.785630272592599E-03,  4.145500073166183E+00,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  3.975680169768007E-03,  1.771099353771330E-03,  9.770155369001805E+01,  1.676920964798502E+02,  3.669075598450573E+01,  2.458881925483706E+06,  8.685383958988872E+01,  8.238228200227817E+01,  8.283413370219861E+01,  1.778168784144956E-03,  1.785238214518581E-03,  4.144894476742398E+00,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  3.331828374635290E-03,  1.771533266126885E-03,  9.770156753489201E+01,  1.676921483336481E+02,  3.422575324944761E+01,  2.458894329725732E+06,  8.690613007152633E+01,  3.167445828370963E+02,  3.164821591036280E+02,  1.777455442605208E-03,  1.783377619083530E-03,  4.142400538416672E+00,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  3.407197941045652E-03,  1.771809036417020E-03,  9.770161886297707E+01,  1.676922247610701E+02,  3.740848759570193E+01,  2.458906798800722E+06,  8.687598584616333E+01,  1.854834569345785E+02,  1.854463050389349E+02,  1.777866579767056E-03,  1.783924123117093E-03,  4.143837868354947E+00,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  3.133552158481872E-03,  1.771954707452600E-03,  9.770166668278662E+01,  1.676922951102552E+02,  4.562553405518224E+01,  2.458915182201576E+06,  8.690105288410061E+01,  4.916847873155219E+01,  4.944086685591235E+01,  1.777524673730724E-03,  1.783094640008847E-03,  4.142642557854042E+00,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  3.623740773503995E-03,  1.771588500719067E-03,  9.770174332650042E+01,  1.676923520384248E+02,  5.165368234584098E+01,  2.458927684161839E+06,  8.686388966822130E+01,  2.750330579149908E+02,  2.746192480671983E+02,  1.778031626420306E-03,  1.784474752121544E-03,  4.144414915968287E+00,
