Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Uranus Barycenter [7]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Jul 31, 2013           Uranus Barycenter                            7
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Uranus system. The point about 
 which Uranus and its satellites revolve. See 799 for Uranus center.
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:42:52 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus Barycenter (7)           {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9627051586948196E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  4.733053134427046E-02,  1.827958225006933E+01,  7.721296598886114E-01,  7.400315094268373E+01,  9.707909872891558E+01,  2.470112431456958E+06,  1.173358760618359E-02,  2.278512738411459E+02,  2.239868173816830E+02,  1.918774858594225E+01,  2.009591492181517E+01,  3.068115329111108E+04,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.732977062362587E-02,  1.827960774015481E+01,  7.721295549769662E-01,  7.400315721876801E+01,  9.707892076730407E+01,  2.470112431326732E+06,  1.173357711739501E-02,  2.279799700364794E+02,  2.241073705462302E+02,  1.918776002071650E+01,  2.009591230127820E+01,  3.068118071737054E+04,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.732900711092073E-02,  1.827963322402718E+01,  7.721294536631217E-01,  7.400316325360801E+01,  9.707874992858449E+01,  2.470112431791302E+06,  1.173356668620364E-02,  2.281086583754377E+02,  2.242279341217230E+02,  1.918777139271574E+01,  2.009590956140431E+01,  3.068120799307248E+04,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  4.732824095983890E-02,  1.827965869468335E+01,  7.721293559612232E-01,  7.400316904829303E+01,  9.707858636859420E+01,  2.470112432860095E+06,  1.173355631651272E-02,  2.282373387054764E+02,  2.243485079919084E+02,  1.918778269768438E+01,  2.009590670068542E+01,  3.068123510800977E+04,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  4.732747232809884E-02,  1.827968414498859E+01,  7.721292618646298E-01,  7.400317460514150E+01,  9.707843024285950E+01,  2.470112434542543E+06,  1.173354601227772E-02,  2.283660108736177E+02,  2.244690920395511E+02,  1.918779393130992E+01,  2.009590371763125E+01,  3.068126205183872E+04,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  4.732670137923724E-02,  1.827970956763716E+01,  7.721291713622550E-01,  7.400317992671839E+01,  9.707828170617543E+01,  2.470112436847930E+06,  1.173353577751117E-02,  2.284946747281021E+02,  2.245896861478349E+02,  1.918780508921757E+01,  2.009590061079799E+01,  3.068128881406628E+04,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  4.732592828143080E-02,  1.827973495523642E+01,  7.721290844365405E-01,  7.400318501595062E+01,  9.707814090822609E+01,  2.470112439785077E+06,  1.173352561622355E-02,  2.286233301228439E+02,  2.247102902046273E+02,  1.918781616703479E+01,  2.009589737883316E+01,  3.068131538420473E+04,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  4.732515320326766E-02,  1.827976030045302E+01,  7.721290010652196E-01,  7.400318987601628E+01,  9.707800799237172E+01,  2.470112443362305E+06,  1.173351553236059E-02,  2.287519769184849E+02,  2.248309041038027E+02,  1.918782716045960E+01,  2.009589402046617E+01,  3.068134175193562E+04,
