Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Venus Barycenter [2]
Center [change] : 	Solar System Barycenter (SSB) [500@0]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: July 31, 2013                 Venus                           299 / 2
 
 PHYSICAL DATA (updated 2019-Apr-22):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759        2650        2614
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 19:40:56 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus Barycenter (299)          {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.9630710189377173E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  1.082774913442415E-02,  7.084184815292669E-01,  3.416746549049255E+00,  7.676137212224344E+01,  1.350450276066338E+02,  2.458755871399256E+06,  1.627296632348327E+00,  1.531751549980359E+02,  1.537283761157438E+02,  7.161730233630844E-01,  7.239275651969019E-01,  2.212258004126079E+02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  6.420412804666269E-03,  7.163914789219981E-01,  3.413426007204579E+00,  7.686855009442080E+01,  1.730058225850307E+02,  2.458778634365269E+06,  1.610912814403558E+00,  1.326161981156762E+02,  1.331546876970185E+02,  7.210207296470538E-01,  7.256499803721096E-01,  2.234757814210388E+02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.401051724595588E-03,  7.228991202547428E-01,  3.408304208633651E+00,  7.695499388309283E+01,  2.502636698626359E+02,  2.458826225589793E+06,  1.594056689633410E+00,  7.283310404337142E+01,  7.331573726223976E+01,  7.260947005889896E-01,  7.292902809232366E-01,  2.258388941504899E+02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  7.569866252940792E-03,  7.254264276849887E-01,  3.401820147308610E+00,  7.701225421117746E+01,  3.142176286946288E+02,  2.458866123034487E+06,  1.578169031460159E+00,  2.643585501851297E+01,  2.682533263230392E+01,  7.309596948109983E-01,  7.364929619370081E-01,  2.281124472876771E+02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  1.181484919554611E-02,  7.264839426016142E-01,  3.394550513157197E+00,  7.703429334835319E+01,  3.471439078450882E+02,  2.458886705556054E+06,  1.564631677804138E+00,  1.115025994838243E+01,  1.141592347118374E+01,  7.351698636740331E-01,  7.438557847464521E-01,  2.300860995638522E+02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  1.532139785740774E-02,  7.270019372001402E-01,  3.387161044214941E+00,  7.701816049510404E+01,  1.215589475088945E+01,  2.458902308862960E+06,  1.554647960067249E+00,  3.857294638411573E+00,  3.977702570548233E+00,  7.383139388001674E-01,  7.496259404001947E-01,  2.315636782390449E+02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  1.750642828101524E-02,  7.271097722968227E-01,  3.380347659738684E+00,  7.696443240009580E+01,  3.477717930718939E+01,  2.458916380463973E+06,  1.549131435098139E+00,  3.590202301774921E+02,  3.589851606887019E+02,  7.400656790300024E-01,  7.530215857631821E-01,  2.323882866512186E+02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  1.809136518558353E-02,  7.268388065689909E-01,  3.374770385839766E+00,  7.687734750915936E+01,  5.672289775068648E+01,  2.458929996545136E+06,  1.548613787961225E+00,  3.549042164329066E+02,  3.547158412045545E+02,  7.402305884664775E-01,  7.536223703639640E-01,  2.324659658842027E+02,
2458937.664000000, A.D. 2020-Mar-29 03:56:09.6000,  1.700548774144393E-02,  7.262139146276601E-01,  3.370986095572404E+00,  7.676455381418933E+01,  7.893424555611330E+01,  2.458943752447688E+06,  1.553185951905556E+00,  3.505435085816569E+02,  3.502164931018317E+02,  7.387771809214786E-01,  7.513404472152972E-01,  2.317816482684041E+02,
