Skip Page Navigation
NASA Logo - Jet Propulsion Laboratory				+ View the NASA Portal
+ Center for Near-Earth Object Studies			
JPL Home	Earth	Solar System	Stars & Galaxies	Technology

JPL Solar System Dynamics
BODIES		ORBITS		EPHEMERIDES		TOOLS		PHYSICAL DATA		DISCOVERY		FAQ		SITE MAP

IMPORTANT: The SSD Announcement email list is now available. Major changes are coming in the near future, including possible hostname and/or URL changes. To be notified of such changes, subscribe to this email list.

Please visit this page for more details.


Don't show this message again
HORIZONS Web-Interface
This tool provides a web-based limited interface to JPL's HORIZONS system which can be used to generate ephemerides for solar-system bodies. Full access to HORIZONS features is available via the primary telnet interface. HORIZONS system news shows recent changes and improvements. A web-interface tutorial is available to assist new users.
Current Settings
Ephemeris Type [change] : 	ELEMENTS
Target Body [change] : 	Pasiphae (JVIII) [508]
Center [change] : 	Jupiter System Barycenter [500@5]
Time Span [change] : 	Start=JD 2458850.0, Stop=JD 2464329.0, Intervals=500
Table Settings [change] : 	CSV format=YES
Display/Output [change] : 	default (formatted HTML)
Object Data Page
 Revised: Dec 04, 2019            Pasiphae / (Jupiter)                      508

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 18              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +10.33

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23500 (10^3)    Orbital period      = 735 d (retro)
  Eccentricity, e         =   0.378         Rotational period   = 
  Inclination, i  (deg)   =  148            Local invar ref. pln= Sun
Results
*******************************************************************************
Ephemeris / WWW_USER Fri May 15 20:11:52 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pasiphae (508)                  {source: jup343_merged}
Center body name: Jupiter Barycenter (5)          {source: jup343_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 12:00:00.0000 TDB
Stop  time      : A.D. 2035-Jan-01 12:00:00.0000 TDB
Step-size       : 500 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 2.8253458408338699E-07 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  4.943636464018435E-01,  8.116740653346222E-02,  1.531696516564262E+02,  2.751917296301953E+01,  2.334240286969860E+02,  2.459111716495974E+06,  4.735255008536635E-01,  2.360705651619499E+02,  2.029370055725988E+02,  1.605252588265602E-01,  2.398831111196583E-01,  7.602547261995358E+02,
2458860.958000000, A.D. 2020-Jan-12 10:59:31.2000,  4.873093635916163E-01,  8.265298423848540E-02,  1.532329122645830E+02,  2.817026352642190E+01,  2.337280300347339E+02,  2.459113655043158E+06,  4.704935899508730E-01,  2.411076609945286E+02,  2.056018831313025E+02,  1.612141481995940E-01,  2.397753121607027E-01,  7.651538887864331E+02,
2458871.916000000, A.D. 2020-Jan-23 09:59:02.4000,  4.805548517564361E-01,  8.405964829017647E-02,  1.532806572024087E+02,  2.882944032870475E+01,  2.340587017852014E+02,  2.459115512204779E+06,  4.678284498182001E-01,  2.460387651364871E+02,  2.083409518135796E+02,  1.618258416204545E-01,  2.395920349507325E-01,  7.695128420255273E+02,
2458882.874000000, A.D. 2020-Feb-03 08:58:33.6000,  4.741557416461202E-01,  8.536715537031733E-02,  1.533120338021711E+02,  2.949117285669723E+01,  2.344212758350598E+02,  2.459117269899451E+06,  4.655945947407770E-01,  2.508665361861451E+02,  2.111539398663154E+02,  1.623430398147799E-01,  2.393189242592425E-01,  7.732048526045120E+02,
2458893.832000000, A.D. 2020-Feb-14 07:58:04.8000,  4.681578923562046E-01,  8.655681662018760E-02,  1.533264654856658E+02,  3.014972677533373E+01,  2.348216024282599E+02,  2.459118914939011E+06,  4.638532514636177E-01,  2.555945468909842E+02,  2.140407481349397E+02,  1.627490854450351E-01,  2.389413542698826E-01,  7.761075272493516E+02,
2458904.790000000, A.D. 2020-Feb-25 06:57:36.0000,  4.625960981988375E-01,  8.761216596912411E-02,  1.533236673264987E+02,  3.079922058004544E+01,  2.352658058774448E+02,  2.459120439122401E+06,  4.626611547817420E-01,  2.602275280022752E+02,  2.170020673112562E+02,  1.630285259848007E-01,  2.384448860004773E-01,  7.781072525309114E+02,
2458915.748000000, A.D. 2020-Mar-07 05:57:07.2000,  4.574931910641216E-01,  8.851961350756204E-02,  1.533036627700477E+02,  3.143368485081687E+01,  2.357598508473264E+02,  2.459121839090327E+06,  4.620691424642361E-01,  2.647716666233396E+02,  2.200401377713550E+02,  1.631677465600705E-01,  2.378158796125791E-01,  7.791041792578991E+02,
2458926.706000000, A.D. 2020-Mar-18 04:56:38.4000,  4.528594957833852E-01,  8.926907858810669E-02,  1.532668024495951E+02,  3.204712804101061E+01,  2.363090210468578E+02,  2.459123115949391E+06,  4.621204224105013E-01,  2.692349512217787E+02,  2.231596678565021E+02,  1.631556755534311E-01,  2.370422725187555E-01,  7.790177246921412E+02,
